country_code,state_code,state_name
USA,AL,Alabama
USA,AK,Alaska
USA,AZ,Arizona
USA,AR,Arkansas
USA,CA,California
USA,CO,Colorado
USA,CT,Connecticut
USA,DE,Delaware
USA,DC,District of Columbia
USA,FL,Florida
USA,GA,Georgia
USA,GU,Guam
USA,HI,Hawaii
USA,ID,Idaho
USA,IL,Illinois
USA,IN,Indiana
USA,IA,Iowa
USA,KS,Kansas
USA,KY,Kentucky
USA,LA,Louisiana
USA,ME,Maine
USA,MD,Maryland
USA,MA,Massachusetts
USA,MI,Michigan
USA,MN,Minnesota
USA,MP,Northern Mariana Islands
USA,MS,Mississippi
USA,MO,Missouri
USA,MT,Montana
USA,NE,Nebraska
USA,NV,Nevada
USA,NH,New Hampshire
USA,NJ,New Jersey
USA,NM,New Mexico
USA,NY,New York
USA,NC,North Carolina
USA,ND,North Dakota
USA,OH,Ohio
USA,OK,Oklahoma
USA,OR,Oregon
USA,PA,Pennsylvania
USA,PR,Puerto Rico
USA,RI,Rhode Island
USA,SC,South Carolina
USA,SD,South Dakota
USA,TN,Tennessee
USA,TX,Texas
USA,UT,Utah
USA,VT,Vermont
USA,VA,Virginia
USA,VI,Virgin Islands
USA,WA,Washington
USA,WV,West Virginia
USA,WI,Wisconsin
USA,WY,Wyoming
