date,country_code,country_name,total_cases,total_deaths,total_recoveries
2020-03-08,ALB,Albania,2,0,0
2020-03-09,ALB,Albania,6,0,0
2020-03-10,ALB,Albania,10,0,0
2020-03-11,ALB,Albania,15,1,0
2020-03-12,ALB,Albania,23,1,0
2020-03-13,ALB,Albania,33,1,0
2020-03-14,ALB,Albania,38,1,0
2020-03-15,ALB,Albania,42,1,0
2020-03-16,ALB,Albania,51,1,0
2020-03-17,ALB,Albania,55,1,0
2020-03-18,ALB,Albania,59,2,0
2020-03-19,ALB,Albania,64,2,0
2020-03-20,ALB,Albania,70,2,2
2020-03-21,ALB,Albania,76,2,3
2020-03-22,ALB,Albania,89,3,3
2020-03-23,ALB,Albania,104,4,5
