date,country_code,country_name,total_cases,total_deaths
2020-01-25,AUS,Australia,4,0
2020-01-26,AUS,Australia,4,0
2020-01-27,AUS,Australia,5,0
2020-01-28,AUS,Australia,5,0
2020-01-29,AUS,Australia,7,0
2020-01-30,AUS,Australia,9,0
2020-01-31,AUS,Australia,9,0
2020-02-01,AUS,Australia,10,0
2020-02-02,AUS,Australia,12,0
2020-02-03,AUS,Australia,12,0
2020-02-04,AUS,Australia,12,0
2020-02-05,AUS,Australia,12,0
2020-02-06,AUS,Australia,12,0
2020-02-07,AUS,Australia,12,0
2020-02-08,AUS,Australia,15,0
2020-02-09,AUS,Australia,15,0
2020-02-10,AUS,Australia,15,0
2020-02-11,AUS,Australia,15,0
2020-02-12,AUS,Australia,15,0
2020-02-13,AUS,Australia,15,0
2020-02-14,AUS,Australia,15,0
2020-02-15,AUS,Australia,15,0
2020-02-16,AUS,Australia,15,0
2020-02-17,AUS,Australia,15,0
2020-02-18,AUS,Australia,15,0
2020-02-19,AUS,Australia,15,0
2020-02-20,AUS,Australia,17,0
2020-02-21,AUS,Australia,21,0
2020-02-22,AUS,Australia,21,0
2020-02-23,AUS,Australia,21,0
2020-02-24,AUS,Australia,21,0
2020-02-25,AUS,Australia,22,0
2020-02-26,AUS,Australia,22,0
2020-02-27,AUS,Australia,22,0
2020-02-28,AUS,Australia,25,0
2020-02-29,AUS,Australia,26,0
2020-03-01,AUS,Australia,29,1
2020-03-02,AUS,Australia,33,1
2020-03-03,AUS,Australia,41,1
2020-03-04,AUS,Australia,52,2
2020-03-05,AUS,Australia,60,2
2020-03-06,AUS,Australia,63,2
2020-03-07,AUS,Australia,73,2
2020-03-08,AUS,Australia,80,3
2020-03-09,AUS,Australia,92,3
2020-03-10,AUS,Australia,112,3
2020-03-11,AUS,Australia,127,3
2020-03-12,AUS,Australia,156,3
2020-03-13,AUS,Australia,198,3
2020-03-14,AUS,Australia,248,3
2020-03-15,AUS,Australia,298,5
2020-03-16,AUS,Australia,376,5
2020-03-17,AUS,Australia,453,5
2020-03-18,AUS,Australia,566,6
2020-03-19,AUS,Australia,707,6
