date,country_code,country_name,total_cases,total_deaths,total_recoveries
2020-02-29,AUT,Austria,5,0,0
2020-03-01,AUT,Austria,10,0,0
2020-03-02,AUT,Austria,10,0,0
2020-03-03,AUT,Austria,18,0,0
2020-03-04,AUT,Austria,29,0,0
2020-03-05,AUT,Austria,41,0,0
2020-03-06,AUT,Austria,55,0,0
2020-03-07,AUT,Austria,79,0,0
2020-03-08,AUT,Austria,99,0,2
2020-03-09,AUT,Austria,131,0,2
2020-03-10,AUT,Austria,182,0,4
2020-03-11,AUT,Austria,246,0,4
2020-03-12,AUT,Austria,361,1,4
2020-03-13,AUT,Austria,504,1,6
2020-03-14,AUT,Austria,655,1,6
2020-03-15,AUT,Austria,860,1,6
2020-03-16,AUT,Austria,1016,3,6
2020-03-17,AUT,Austria,1332,3,9
2020-03-18,AUT,Austria,1646,4,9
2020-03-19,AUT,Austria,2013,6,9
2020-03-20,AUT,Austria,2338,6,9
2020-03-21,AUT,Austria,2814,8,9
2020-03-22,AUT,Austria,3244,16,9
