date,country_code,country_name,total_cases,total_deaths,total_recoveries
2020-02-04,BEL,Belgium,1,0,0
2020-02-05,BEL,Belgium,1,0,0
2020-02-06,BEL,Belgium,1,0,0
2020-02-07,BEL,Belgium,1,0,0
2020-02-08,BEL,Belgium,1,0,0
2020-02-09,BEL,Belgium,1,0,0
2020-02-10,BEL,Belgium,1,0,0
2020-02-11,BEL,Belgium,1,0,0
2020-02-12,BEL,Belgium,1,0,0
2020-02-13,BEL,Belgium,1,0,0
2020-02-14,BEL,Belgium,1,0,0
2020-02-15,BEL,Belgium,1,0,0
2020-02-16,BEL,Belgium,1,0,0
2020-02-17,BEL,Belgium,1,0,0
2020-02-18,BEL,Belgium,1,0,0
2020-02-19,BEL,Belgium,1,0,0
2020-02-20,BEL,Belgium,1,0,0
2020-02-21,BEL,Belgium,1,0,0
2020-02-22,BEL,Belgium,1,0,0
2020-02-23,BEL,Belgium,1,0,0
2020-02-24,BEL,Belgium,1,0,0
2020-02-25,BEL,Belgium,1,0,0
2020-02-26,BEL,Belgium,1,0,0
2020-02-27,BEL,Belgium,1,0,0
2020-02-28,BEL,Belgium,1,0,0
2020-02-29,BEL,Belgium,1,0,0
2020-03-01,BEL,Belgium,2,0,1
2020-03-02,BEL,Belgium,8,0,1
2020-03-03,BEL,Belgium,13,0,1
2020-03-04,BEL,Belgium,23,0,1
2020-03-05,BEL,Belgium,50,0,1
2020-03-06,BEL,Belgium,109,0,1
2020-03-07,BEL,Belgium,169,0,1
2020-03-08,BEL,Belgium,200,0,1
2020-03-09,BEL,Belgium,239,0,1
2020-03-10,BEL,Belgium,267,1,1
2020-03-11,BEL,Belgium,314,3,1
2020-03-12,BEL,Belgium,399,3,1
2020-03-13,BEL,Belgium,559,3,1
2020-03-14,BEL,Belgium,689,4,1
2020-03-15,BEL,Belgium,886,4,1
2020-03-16,BEL,Belgium,1058,5,1
2020-03-17,BEL,Belgium,1243,10,15
2020-03-18,BEL,Belgium,1486,14,31
2020-03-19,BEL,Belgium,1795,21,155
2020-03-20,BEL,Belgium,2257,37,204
2020-03-21,BEL,Belgium,2815,67,263
2020-03-22,BEL,Belgium,3401,75,340
2020-03-23,BEL,Belgium,3743,88,350
2020-03-24,BEL,Belgium,4269,122,410
2020-03-25,BEL,Belgium,4937,178,547
