date,country_code,country_name,total_cases,total_deaths,total_recoveries
2020-03-08,BGR,Bulgaria,4,0,0
2020-03-09,BGR,Bulgaria,4,0,0
2020-03-10,BGR,Bulgaria,6,0,0
2020-03-11,BGR,Bulgaria,7,1,0
2020-03-12,BGR,Bulgaria,23,1,0
2020-03-13,BGR,Bulgaria,31,1,0
2020-03-14,BGR,Bulgaria,41,2,0
2020-03-15,BGR,Bulgaria,51,2,0
2020-03-16,BGR,Bulgaria,62,2,0
2020-03-17,BGR,Bulgaria,81,2,0
2020-03-18,BGR,Bulgaria,94,2,0
2020-03-19,BGR,Bulgaria,112,3,0
2020-03-20,BGR,Bulgaria,127,3,1
2020-03-21,BGR,Bulgaria,163,3,3
2020-03-22,BGR,Bulgaria,187,3,3
2020-03-23,BGR,Bulgaria,201,3,3
2020-03-24,BGR,Bulgaria,202,3,3
