date,country_code,country_name,total_cases,total_deaths,total_recoveries
2020-01-27,CAN,Canada,1,0,0
2020-01-28,CAN,Canada,1,0,0
2020-01-29,CAN,Canada,1,0,0
2020-01-30,CAN,Canada,1,0,0
2020-01-31,CAN,Canada,1,0,0
2020-02-01,CAN,Canada,1,0,0
2020-02-02,CAN,Canada,1,0,0
2020-02-03,CAN,Canada,1,0,0
2020-02-04,CAN,Canada,4,0,0
2020-02-05,CAN,Canada,5,0,0
2020-02-06,CAN,Canada,5,0,0
2020-02-07,CAN,Canada,7,0,0
2020-02-08,CAN,Canada,7,0,0
2020-02-09,CAN,Canada,7,0,0
2020-02-10,CAN,Canada,7,0,0
2020-02-11,CAN,Canada,7,0,0
2020-02-12,CAN,Canada,7,0,0
2020-02-13,CAN,Canada,7,0,0
2020-02-14,CAN,Canada,7,0,0
2020-02-15,CAN,Canada,7,0,0
2020-02-16,CAN,Canada,7,0,0
2020-02-17,CAN,Canada,8,0,1
2020-02-18,CAN,Canada,8,0,1
2020-02-19,CAN,Canada,8,0,1
2020-02-20,CAN,Canada,8,0,1
2020-02-21,CAN,Canada,9,0,4
2020-02-22,CAN,Canada,9,0,4
2020-02-23,CAN,Canada,9,0,4
2020-02-24,CAN,Canada,10,0,4
2020-02-25,CAN,Canada,11,0,7
2020-02-26,CAN,Canada,11,0,7
2020-02-27,CAN,Canada,13,0,7
2020-02-28,CAN,Canada,14,0,7
2020-02-29,CAN,Canada,20,0,7
2020-03-01,CAN,Canada,24,0,7
2020-03-02,CAN,Canada,27,0,7
2020-03-03,CAN,Canada,30,0,7
2020-03-04,CAN,Canada,34,0,7
2020-03-05,CAN,Canada,47,0,8
2020-03-06,CAN,Canada,54,0,8
2020-03-07,CAN,Canada,60,0,8
2020-03-08,CAN,Canada,67,1,8
2020-03-09,CAN,Canada,78,1,8
2020-03-10,CAN,Canada,96,1,8
2020-03-11,CAN,Canada,117,1,9
2020-03-12,CAN,Canada,157,1,11
2020-03-13,CAN,Canada,196,1,11
2020-03-14,CAN,Canada,250,1,11
2020-03-15,CAN,Canada,324,1,11
2020-03-16,CAN,Canada,425,4,11
2020-03-17,CAN,Canada,569,8,11
2020-03-18,CAN,Canada,690,9,11
2020-03-19,CAN,Canada,846,12,11
2020-03-20,CAN,Canada,1055,13,15
2020-03-21,CAN,Canada,1281,18,16
2020-03-22,CAN,Canada,1429,20,18
2020-03-23,CAN,Canada,2061,24,112
