date,country_code,country_name,total_cases,total_deaths
2020-02-25,CHE,Switzerland,1,0
2020-02-26,CHE,Switzerland,2,0
2020-02-27,CHE,Switzerland,8,0
2020-02-28,CHE,Switzerland,13,0
2020-02-29,CHE,Switzerland,18,0
2020-03-01,CHE,Switzerland,22,0
2020-03-02,CHE,Switzerland,40,0
2020-03-03,CHE,Switzerland,55,0
2020-03-04,CHE,Switzerland,72,0
2020-03-05,CHE,Switzerland,102,0
2020-03-06,CHE,Switzerland,198,0
2020-03-07,CHE,Switzerland,254,0
2020-03-08,CHE,Switzerland,350,0
2020-03-09,CHE,Switzerland,369,0
2020-03-10,CHE,Switzerland,480,0
2020-03-11,CHE,Switzerland,640,0
2020-03-12,CHE,Switzerland,858,0
2020-03-13,CHE,Switzerland,1139,0
2020-03-14,CHE,Switzerland,1359,0
2020-03-15,CHE,Switzerland,2217,0
2020-03-16,CHE,Switzerland,2353,0
2020-03-17,CHE,Switzerland,2677,0
2020-03-18,CHE,Switzerland,3070,0
