date,country_code,country_name,total_cases,total_deaths
2019-12-31,CHN,China,0,0
2020-01-01,CHN,China,0,0
2020-01-02,CHN,China,0,0
2020-01-03,CHN,China,0,0
2020-01-04,CHN,China,0,0
2020-01-05,CHN,China,0,0
2020-01-06,CHN,China,0,0
2020-01-07,CHN,China,0,0
2020-01-08,CHN,China,0,0
2020-01-09,CHN,China,0,0
2020-01-10,CHN,China,41,1
2020-01-11,CHN,China,41,1
2020-01-12,CHN,China,41,1
2020-01-13,CHN,China,41,1
2020-01-14,CHN,China,41,1
2020-01-15,CHN,China,41,2
2020-01-16,CHN,China,45,2
2020-01-17,CHN,China,62,2
2020-01-18,CHN,China,121,3
2020-01-19,CHN,China,198,3
2020-01-20,CHN,China,291,6
2020-01-21,CHN,China,440,9
2020-01-22,CHN,China,571,17
2020-01-23,CHN,China,830,25
2020-01-24,CHN,China,1287,41
2020-01-25,CHN,China,1975,56
2020-01-26,CHN,China,2744,80
2020-01-27,CHN,China,4515,106
2020-01-28,CHN,China,5974,132
2020-01-29,CHN,China,7711,170
2020-01-30,CHN,China,9692,213
2020-01-31,CHN,China,11791,259
2020-02-01,CHN,China,14380,304
2020-02-02,CHN,China,17205,361
2020-02-03,CHN,China,20438,425
2020-02-04,CHN,China,24324,490
2020-02-05,CHN,China,28018,563
2020-02-06,CHN,China,31161,637
2020-02-07,CHN,China,34546,722
2020-02-08,CHN,China,37198,811
2020-02-09,CHN,China,40171,908
2020-02-10,CHN,China,42638,1016
2020-02-11,CHN,China,44653,1113
2020-02-12,CHN,China,0,1259
2020-02-13,CHN,China,0,1380
2020-02-14,CHN,China,0,1523
2020-02-15,CHN,China,0,1665
2020-02-16,CHN,China,0,1770
2020-02-17,CHN,China,0,1868
2020-02-18,CHN,China,0,2004
2020-02-19,CHN,China,0,2118
2020-02-20,CHN,China,0,2236
2020-02-21,CHN,China,0,2345
2020-02-22,CHN,China,0,2443
2020-02-23,CHN,China,0,2592
2020-02-24,CHN,China,0,2663
2020-02-25,CHN,China,0,2715
2020-02-26,CHN,China,0,2744
2020-02-27,CHN,China,0,2788
2020-02-28,CHN,China,0,2835
2020-02-29,CHN,China,0,2870
2020-03-01,CHN,China,0,2912
2020-03-02,CHN,China,0,2943
2020-03-03,CHN,China,0,2981
2020-03-04,CHN,China,0,3012
2020-03-05,CHN,China,0,3042
2020-03-06,CHN,China,0,3070
2020-03-07,CHN,China,0,3097
2020-03-08,CHN,China,0,3119
2020-03-09,CHN,China,0,3136
2020-03-10,CHN,China,0,3158
2020-03-11,CHN,China,0,3169
2020-03-12,CHN,China,0,3176
2020-03-13,CHN,China,0,3189
2020-03-14,CHN,China,0,3199
2020-03-15,CHN,China,0,3213
2020-03-16,CHN,China,0,3226
2020-03-17,CHN,China,0,3237
2020-03-18,CHN,China,0,3245
