date,country_code,country_name,total_cases,total_deaths,total_recoveries
2020-03-06,COL,Colombia,1,0,0
2020-03-07,COL,Colombia,1,0,0
2020-03-08,COL,Colombia,1,0,0
2020-03-09,COL,Colombia,3,0,0
2020-03-10,COL,Colombia,3,0,0
2020-03-11,COL,Colombia,9,0,0
2020-03-12,COL,Colombia,13,0,0
2020-03-13,COL,Colombia,16,0,0
2020-03-14,COL,Colombia,24,0,0
2020-03-15,COL,Colombia,45,0,0
2020-03-16,COL,Colombia,57,0,1
2020-03-17,COL,Colombia,75,0,1
2020-03-18,COL,Colombia,102,0,1
2020-03-19,COL,Colombia,128,0,1
2020-03-20,COL,Colombia,175,0,1
2020-03-21,COL,Colombia,210,1,3
2020-03-22,COL,Colombia,231,2,3
2020-03-23,COL,Colombia,277,3,5
