date,country_code,country_name,total_cases,total_deaths,total_recoveries
2020-02-24,DEU,Germany,16,0,0
2020-02-25,DEU,Germany,18,0,0
2020-02-26,DEU,Germany,21,0,0
2020-02-27,DEU,Germany,26,0,0
2020-02-28,DEU,Germany,53,0,0
2020-02-29,DEU,Germany,66,0,0
2020-03-01,DEU,Germany,117,0,0
2020-03-02,DEU,Germany,150,0,0
2020-03-03,DEU,Germany,188,0,0
2020-03-04,DEU,Germany,240,0,0
2020-03-05,DEU,Germany,349,0,0
2020-03-06,DEU,Germany,534,0,0
2020-03-07,DEU,Germany,684,0,0
2020-03-08,DEU,Germany,847,0,18
2020-03-09,DEU,Germany,1112,2,18
2020-03-10,DEU,Germany,1460,2,18
2020-03-11,DEU,Germany,1884,3,19
2020-03-12,DEU,Germany,2369,5,19
2020-03-13,DEU,Germany,3062,8,46
2020-03-14,DEU,Germany,3795,8,46
2020-03-15,DEU,Germany,4838,12,46
2020-03-16,DEU,Germany,6012,13,60
2020-03-17,DEU,Germany,7156,12,60
2020-03-18,DEU,Germany,8198,12,72
2020-03-19,DEU,Germany,10999,20,72
2020-03-20,DEU,Germany,13957,31,72
2020-03-21,DEU,Germany,16662,47,72
2020-03-22,DEU,Germany,18610,55,72
2020-03-23,DEU,Germany,22672,86,422
2020-03-24,DEU,Germany,27436,114,3290
2020-03-25,DEU,Germany,31554,149,5600
2020-03-26,DEU,Germany,36508,198,5900
