date,country_code,country_name,total_cases,total_deaths,total_recoveries
2020-02-27,EST,Estonia,1,0,0
2020-02-28,EST,Estonia,1,0,0
2020-02-29,EST,Estonia,1,0,0
2020-03-01,EST,Estonia,1,0,0
2020-03-02,EST,Estonia,2,0,0
2020-03-03,EST,Estonia,3,0,0
2020-03-04,EST,Estonia,3,0,0
2020-03-05,EST,Estonia,5,0,0
2020-03-06,EST,Estonia,10,0,0
2020-03-07,EST,Estonia,10,0,0
2020-03-08,EST,Estonia,10,0,0
2020-03-09,EST,Estonia,10,0,0
2020-03-10,EST,Estonia,13,0,0
2020-03-11,EST,Estonia,17,0,0
2020-03-12,EST,Estonia,41,0,0
2020-03-13,EST,Estonia,79,0,0
2020-03-14,EST,Estonia,115,0,1
2020-03-15,EST,Estonia,171,0,1
2020-03-16,EST,Estonia,205,0,1
2020-03-17,EST,Estonia,225,0,1
2020-03-18,EST,Estonia,258,0,1
2020-03-19,EST,Estonia,267,0,1
2020-03-20,EST,Estonia,283,0,1
2020-03-21,EST,Estonia,306,0,2
2020-03-22,EST,Estonia,326,0,4
2020-03-23,EST,Estonia,352,0,4
