date,country_code,country_name,total_cases,total_deaths,total_recoveries
2020-01-29,FIN,Finland,1,0,0
2020-01-30,FIN,Finland,1,0,0
2020-01-31,FIN,Finland,1,0,0
2020-02-01,FIN,Finland,1,0,0
2020-02-02,FIN,Finland,1,0,0
2020-02-03,FIN,Finland,1,0,0
2020-02-04,FIN,Finland,1,0,0
2020-02-05,FIN,Finland,1,0,0
2020-02-06,FIN,Finland,1,0,0
2020-02-07,FIN,Finland,1,0,0
2020-02-08,FIN,Finland,1,0,0
2020-02-09,FIN,Finland,1,0,0
2020-02-10,FIN,Finland,1,0,0
2020-02-11,FIN,Finland,1,0,0
2020-02-12,FIN,Finland,1,0,1
2020-02-13,FIN,Finland,1,0,1
2020-02-14,FIN,Finland,1,0,1
2020-02-15,FIN,Finland,1,0,1
2020-02-16,FIN,Finland,1,0,1
2020-02-17,FIN,Finland,1,0,1
2020-02-18,FIN,Finland,1,0,1
2020-02-19,FIN,Finland,1,0,1
2020-02-20,FIN,Finland,1,0,1
2020-02-21,FIN,Finland,1,0,1
2020-02-22,FIN,Finland,1,0,1
2020-02-23,FIN,Finland,1,0,1
2020-02-24,FIN,Finland,1,0,1
2020-02-25,FIN,Finland,1,0,1
2020-02-26,FIN,Finland,2,0,1
2020-02-27,FIN,Finland,2,0,1
2020-02-28,FIN,Finland,3,0,1
2020-02-29,FIN,Finland,3,0,1
2020-03-01,FIN,Finland,6,0,1
2020-03-02,FIN,Finland,7,0,1
2020-03-03,FIN,Finland,7,0,1
2020-03-04,FIN,Finland,7,0,1
2020-03-05,FIN,Finland,12,0,1
2020-03-06,FIN,Finland,15,0,1
2020-03-07,FIN,Finland,19,0,1
2020-03-08,FIN,Finland,24,0,1
2020-03-09,FIN,Finland,33,0,1
2020-03-10,FIN,Finland,40,0,2
2020-03-11,FIN,Finland,65,0,2
2020-03-12,FIN,Finland,111,0,2
2020-03-13,FIN,Finland,157,0,2
2020-03-14,FIN,Finland,227,0,10
2020-03-15,FIN,Finland,243,0,10
2020-03-16,FIN,Finland,275,0,10
2020-03-17,FIN,Finland,315,0,10
2020-03-18,FIN,Finland,357,0,10
2020-03-19,FIN,Finland,398,0,10
2020-03-20,FIN,Finland,448,0,10
2020-03-21,FIN,Finland,521,1,10
2020-03-22,FIN,Finland,626,1,10
2020-03-23,FIN,Finland,700,1,10
2020-03-24,FIN,Finland,792,1,10
