date,country_code,country_name,total_cases,total_deaths
2020-02-25,FRA,France,13,1
2020-02-26,FRA,France,18,2
2020-02-27,FRA,France,38,2
2020-02-28,FRA,France,57,2
2020-02-29,FRA,France,100,2
2020-03-01,FRA,France,130,3
2020-03-02,FRA,France,191,3
2020-03-03,FRA,France,212,4
2020-03-04,FRA,France,285,4
2020-03-05,FRA,France,423,7
2020-03-06,FRA,France,613,9
2020-03-07,FRA,France,949,16
2020-03-08,FRA,France,1126,19
2020-03-09,FRA,France,1412,25
2020-03-10,FRA,France,1784,33
2020-03-11,FRA,France,2281,48
2020-03-12,FRA,France,2876,61
2020-03-13,FRA,France,3661,79
2020-03-14,FRA,France,4499,91
2020-03-15,FRA,France,5423,127
2020-03-16,FRA,France,6633,148
2020-03-17,FRA,France,7730,175
2020-03-18,FRA,France,9134,244
2020-03-19,FRA,France,10995,375
2020-03-20,FRA,France,12612,450
2020-03-21,FRA,France,14459,562
