date,country_code,country_name,total_cases,total_deaths
2020-01-31,GBR,United Kingdom,2,0
2020-02-01,GBR,United Kingdom,2,0
2020-02-02,GBR,United Kingdom,2,0
2020-02-03,GBR,United Kingdom,2,0
2020-02-04,GBR,United Kingdom,2,0
2020-02-05,GBR,United Kingdom,2,0
2020-02-06,GBR,United Kingdom,3,0
2020-02-07,GBR,United Kingdom,3,0
2020-02-08,GBR,United Kingdom,3,0
2020-02-09,GBR,United Kingdom,4,0
2020-02-10,GBR,United Kingdom,8,0
2020-02-11,GBR,United Kingdom,8,0
2020-02-12,GBR,United Kingdom,8,0
2020-02-13,GBR,United Kingdom,9,0
2020-02-14,GBR,United Kingdom,9,0
2020-02-15,GBR,United Kingdom,9,0
2020-02-16,GBR,United Kingdom,9,0
2020-02-17,GBR,United Kingdom,9,0
2020-02-18,GBR,United Kingdom,9,0
2020-02-19,GBR,United Kingdom,9,0
2020-02-20,GBR,United Kingdom,9,0
2020-02-21,GBR,United Kingdom,9,0
2020-02-22,GBR,United Kingdom,9,0
2020-02-23,GBR,United Kingdom,9,0
2020-02-24,GBR,United Kingdom,13,0
2020-02-25,GBR,United Kingdom,13,0
2020-02-26,GBR,United Kingdom,13,0
2020-02-27,GBR,United Kingdom,13,0
2020-02-28,GBR,United Kingdom,19,0
2020-02-29,GBR,United Kingdom,23,0
2020-03-01,GBR,United Kingdom,35,0
2020-03-02,GBR,United Kingdom,40,0
2020-03-03,GBR,United Kingdom,51,0
2020-03-04,GBR,United Kingdom,85,0
2020-03-05,GBR,United Kingdom,114,1
2020-03-06,GBR,United Kingdom,160,2
2020-03-07,GBR,United Kingdom,206,2
2020-03-08,GBR,United Kingdom,271,3
2020-03-09,GBR,United Kingdom,321,5
2020-03-10,GBR,United Kingdom,373,6
2020-03-11,GBR,United Kingdom,456,8
2020-03-12,GBR,United Kingdom,590,8
2020-03-13,GBR,United Kingdom,797,10
2020-03-14,GBR,United Kingdom,1061,21
2020-03-15,GBR,United Kingdom,1391,35
2020-03-16,GBR,United Kingdom,1543,55
2020-03-17,GBR,United Kingdom,1950,60
2020-03-18,GBR,United Kingdom,2626,103
2020-03-19,GBR,United Kingdom,3269,144
2020-03-20,GBR,United Kingdom,3983,177
2020-03-21,GBR,United Kingdom,5018,233
