date,country_code,country_name,total_cases,total_deaths
2020-01-23,HKG,Hong Kong,2,0
2020-01-24,HKG,Hong Kong,2,0
2020-01-25,HKG,Hong Kong,5,0
2020-01-26,HKG,Hong Kong,8,0
2020-01-27,HKG,Hong Kong,8,0
2020-01-28,HKG,Hong Kong,8,0
2020-01-29,HKG,Hong Kong,10,0
2020-01-30,HKG,Hong Kong,12,0
2020-01-31,HKG,Hong Kong,13,0
2020-02-01,HKG,Hong Kong,14,0
2020-02-02,HKG,Hong Kong,15,0
2020-02-03,HKG,Hong Kong,15,0
2020-02-04,HKG,Hong Kong,18,1
2020-02-05,HKG,Hong Kong,21,1
2020-02-06,HKG,Hong Kong,24,1
2020-02-07,HKG,Hong Kong,26,1
2020-02-08,HKG,Hong Kong,26,1
2020-02-09,HKG,Hong Kong,36,1
2020-02-10,HKG,Hong Kong,42,1
2020-02-11,HKG,Hong Kong,49,1
2020-02-12,HKG,Hong Kong,50,1
2020-02-13,HKG,Hong Kong,53,1
2020-02-14,HKG,Hong Kong,56,1
2020-02-15,HKG,Hong Kong,56,1
2020-02-16,HKG,Hong Kong,57,1
2020-02-17,HKG,Hong Kong,60,1
2020-02-18,HKG,Hong Kong,62,1
2020-02-19,HKG,Hong Kong,65,2
2020-02-20,HKG,Hong Kong,68,2
2020-02-21,HKG,Hong Kong,68,2
2020-02-22,HKG,Hong Kong,69,2
2020-02-23,HKG,Hong Kong,74,2
2020-02-24,HKG,Hong Kong,81,2
2020-02-25,HKG,Hong Kong,85,2
2020-02-26,HKG,Hong Kong,91,2
2020-02-27,HKG,Hong Kong,93,2
2020-02-28,HKG,Hong Kong,94,2
2020-02-29,HKG,Hong Kong,95,2
2020-03-01,HKG,Hong Kong,98,2
2020-03-02,HKG,Hong Kong,100,2
2020-03-03,HKG,Hong Kong,100,2
2020-03-04,HKG,Hong Kong,104,2
2020-03-05,HKG,Hong Kong,104,2
2020-03-06,HKG,Hong Kong,107,2
2020-03-07,HKG,Hong Kong,109,2
2020-03-08,HKG,Hong Kong,114,3
2020-03-09,HKG,Hong Kong,115,3
2020-03-10,HKG,Hong Kong,120,3
2020-03-11,HKG,Hong Kong,129,3
2020-03-12,HKG,Hong Kong,131,3
2020-03-13,HKG,Hong Kong,137,4
2020-03-14,HKG,Hong Kong,141,4
2020-03-15,HKG,Hong Kong,148,4
2020-03-16,HKG,Hong Kong,157,4
2020-03-17,HKG,Hong Kong,167,4
2020-03-18,HKG,Hong Kong,192,4
2020-03-19,HKG,Hong Kong,208,4
