date,country_code,country_name,total_cases,total_deaths
2020-03-04,HUN,Hungary,2,0
2020-03-05,HUN,Hungary,3,0
2020-03-06,HUN,Hungary,4,0
2020-03-07,HUN,Hungary,7,0
2020-03-08,HUN,Hungary,9,0
2020-03-09,HUN,Hungary,12,0
2020-03-10,HUN,Hungary,12,0
2020-03-11,HUN,Hungary,13,0
2020-03-12,HUN,Hungary,16,0
2020-03-13,HUN,Hungary,19,0
2020-03-14,HUN,Hungary,30,0
2020-03-15,HUN,Hungary,32,1
2020-03-16,HUN,Hungary,39,1
2020-03-17,HUN,Hungary,50,1
2020-03-18,HUN,Hungary,58,1
2020-03-19,HUN,Hungary,73,1
2020-03-20,HUN,Hungary,85,4
2020-03-21,HUN,Hungary,103,4
2020-03-22,HUN,Hungary,131,6
