date,country_code,country_name,total_cases,total_deaths
2020-02-02,IND,India,2,0
2020-02-03,IND,India,3,0
2020-02-04,IND,India,3,0
2020-02-05,IND,India,3,0
2020-02-06,IND,India,3,0
2020-02-07,IND,India,3,0
2020-02-08,IND,India,3,0
2020-02-09,IND,India,3,0
2020-02-10,IND,India,3,0
2020-02-11,IND,India,3,0
2020-02-12,IND,India,3,0
2020-02-13,IND,India,3,0
2020-02-14,IND,India,3,0
2020-02-15,IND,India,3,0
2020-02-16,IND,India,3,0
2020-02-17,IND,India,3,0
2020-02-18,IND,India,3,0
2020-02-19,IND,India,3,0
2020-02-20,IND,India,3,0
2020-02-21,IND,India,3,0
2020-02-22,IND,India,3,0
2020-02-23,IND,India,3,0
2020-02-24,IND,India,3,0
2020-02-25,IND,India,3,0
2020-02-26,IND,India,3,0
2020-02-27,IND,India,3,0
2020-02-28,IND,India,3,0
2020-02-29,IND,India,3,0
2020-03-01,IND,India,3,0
2020-03-02,IND,India,6,0
2020-03-03,IND,India,9,0
2020-03-04,IND,India,32,0
2020-03-05,IND,India,33,0
2020-03-06,IND,India,34,0
2020-03-07,IND,India,37,0
2020-03-08,IND,India,43,0
2020-03-09,IND,India,50,0
2020-03-10,IND,India,65,0
2020-03-11,IND,India,65,0
2020-03-12,IND,India,77,1
2020-03-13,IND,India,85,2
2020-03-14,IND,India,100,2
2020-03-15,IND,India,110,2
2020-03-16,IND,India,114,2
2020-03-17,IND,India,140,3
2020-03-18,IND,India,170,3
2020-03-19,IND,India,198,3
2020-03-20,IND,India,249,4
