date,country_code,country_name,total_cases,total_deaths,total_recoveries
2020-02-28,ISL,Iceland,1,0,
2020-02-29,ISL,Iceland,1,0,
2020-03-01,ISL,Iceland,3,0,
2020-03-02,ISL,Iceland,9,0,
2020-03-03,ISL,Iceland,16,0,
2020-03-04,ISL,Iceland,26,0,
2020-03-05,ISL,Iceland,37,0,
2020-03-06,ISL,Iceland,45,0,
2020-03-07,ISL,Iceland,50,0,
2020-03-08,ISL,Iceland,58,0,
2020-03-09,ISL,Iceland,65,0,
2020-03-10,ISL,Iceland,81,0,
2020-03-11,ISL,Iceland,90,0,
2020-03-12,ISL,Iceland,117,0,
2020-03-13,ISL,Iceland,138,0,
2020-03-14,ISL,Iceland,161,0,
2020-03-15,ISL,Iceland,180,0,
2020-03-16,ISL,Iceland,199,0,
2020-03-17,ISL,Iceland,247,1,
2020-03-18,ISL,Iceland,330,1,
2020-03-19,ISL,Iceland,409,1,
2020-03-20,ISL,Iceland,473,1,
2020-03-21,ISL,Iceland,568,1,
2020-03-22,ISL,Iceland,588,1,
2020-03-23,ISL,Iceland,648,2,
