date,country_code,country_name,total_cases,total_deaths,total_recoveries
2020-01-31,ITA,Italy,2,0,0
2020-02-01,ITA,Italy,2,0,0
2020-02-02,ITA,Italy,2,0,0
2020-02-03,ITA,Italy,2,0,0
2020-02-04,ITA,Italy,2,0,0
2020-02-05,ITA,Italy,2,0,0
2020-02-06,ITA,Italy,3,0,0
2020-02-07,ITA,Italy,3,0,0
2020-02-08,ITA,Italy,3,0,0
2020-02-09,ITA,Italy,3,0,0
2020-02-10,ITA,Italy,3,0,0
2020-02-11,ITA,Italy,3,0,0
2020-02-12,ITA,Italy,3,0,0
2020-02-13,ITA,Italy,3,0,0
2020-02-14,ITA,Italy,3,0,0
2020-02-15,ITA,Italy,3,0,0
2020-02-16,ITA,Italy,3,0,0
2020-02-17,ITA,Italy,3,0,0
2020-02-18,ITA,Italy,3,0,0
2020-02-19,ITA,Italy,3,0,0
2020-02-20,ITA,Italy,3,0,0
2020-02-21,ITA,Italy,20,1,0
2020-02-22,ITA,Italy,79,2,2
2020-02-23,ITA,Italy,150,3,2
2020-02-24,ITA,Italy,229,6,1
2020-02-25,ITA,Italy,322,10,1
2020-02-26,ITA,Italy,445,12,3
2020-02-27,ITA,Italy,650,17,45
2020-02-28,ITA,Italy,888,21,46
2020-02-29,ITA,Italy,1128,29,50
2020-03-01,ITA,Italy,1694,34,83
2020-03-02,ITA,Italy,2036,52,149
2020-03-03,ITA,Italy,2502,79,160
2020-03-04,ITA,Italy,3089,107,276
2020-03-05,ITA,Italy,3858,148,414
2020-03-06,ITA,Italy,4636,197,523
2020-03-07,ITA,Italy,5883,233,589
2020-03-08,ITA,Italy,7375,366,622
2020-03-09,ITA,Italy,9172,463,724
2020-03-10,ITA,Italy,10149,631,1004
2020-03-11,ITA,Italy,12462,827,1045
2020-03-12,ITA,Italy,15113,1016,1258
2020-03-13,ITA,Italy,17660,1266,1439
2020-03-14,ITA,Italy,21157,1441,1966
2020-03-15,ITA,Italy,24747,1809,2335
2020-03-16,ITA,Italy,27980,2158,2749
2020-03-17,ITA,Italy,31506,2503,2941
2020-03-18,ITA,Italy,35713,2978,4025
2020-03-19,ITA,Italy,41035,3405,4440
2020-03-20,ITA,Italy,47021,4032,5129
2020-03-21,ITA,Italy,53578,4825,6072
2020-03-22,ITA,Italy,59138,5476,7024
