date,country_code,country_name,total_cases,total_deaths
2020-01-16,JPN,Japan,1,0
2020-01-17,JPN,Japan,1,0
2020-01-18,JPN,Japan,1,0
2020-01-19,JPN,Japan,1,0
2020-01-20,JPN,Japan,1,0
2020-01-21,JPN,Japan,1,0
2020-01-22,JPN,Japan,1,0
2020-01-23,JPN,Japan,1,0
2020-01-24,JPN,Japan,3,0
2020-01-25,JPN,Japan,3,0
2020-01-26,JPN,Japan,4,0
2020-01-27,JPN,Japan,6,0
2020-01-28,JPN,Japan,7,0
2020-01-29,JPN,Japan,11,0
2020-01-30,JPN,Japan,14,0
2020-01-31,JPN,Japan,17,0
2020-02-01,JPN,Japan,20,0
2020-02-02,JPN,Japan,20,0
2020-02-03,JPN,Japan,20,0
2020-02-04,JPN,Japan,23,0
2020-02-05,JPN,Japan,25,0
2020-02-06,JPN,Japan,25,0
2020-02-07,JPN,Japan,25,0
2020-02-08,JPN,Japan,26,0
2020-02-09,JPN,Japan,26,0
2020-02-10,JPN,Japan,26,0
2020-02-11,JPN,Japan,26,0
2020-02-12,JPN,Japan,28,0
2020-02-13,JPN,Japan,33,1
2020-02-14,JPN,Japan,41,1
2020-02-15,JPN,Japan,53,1
2020-02-16,JPN,Japan,59,1
2020-02-17,JPN,Japan,65,1
2020-02-18,JPN,Japan,73,1
2020-02-19,JPN,Japan,85,1
2020-02-20,JPN,Japan,93,1
2020-02-21,JPN,Japan,105,1
2020-02-22,JPN,Japan,132,1
2020-02-23,JPN,Japan,144,1
2020-02-24,JPN,Japan,157,1
2020-02-25,JPN,Japan,164,1
2020-02-26,JPN,Japan,186,3
2020-02-27,JPN,Japan,210,4
2020-02-28,JPN,Japan,230,5
2020-02-29,JPN,Japan,239,5
2020-03-01,JPN,Japan,254,6
2020-03-02,JPN,Japan,268,6
2020-03-03,JPN,Japan,284,6
2020-03-04,JPN,Japan,317,6
2020-03-05,JPN,Japan,349,6
2020-03-06,JPN,Japan,408,6
2020-03-07,JPN,Japan,455,6
2020-03-08,JPN,Japan,488,7
2020-03-09,JPN,Japan,514,9
2020-03-10,JPN,Japan,568,12
2020-03-11,JPN,Japan,620,15
2020-03-12,JPN,Japan,675,19
2020-03-13,JPN,Japan,716,21
2020-03-14,JPN,Japan,780,22
2020-03-15,JPN,Japan,814,24
2020-03-16,JPN,Japan,829,28
2020-03-17,JPN,Japan,873,29
2020-03-18,JPN,Japan,914,31
2020-03-19,JPN,Japan,950,33
2020-03-20,JPN,Japan,1007,35
