date,country_code,country_name,total_cases,total_deaths,total_recoveries
2020-01-20,KOR,South Korea,1,0,0
2020-01-21,KOR,South Korea,1,0,0
2020-01-22,KOR,South Korea,1,0,0
2020-01-23,KOR,South Korea,1,0,0
2020-01-24,KOR,South Korea,2,0,0
2020-01-25,KOR,South Korea,2,0,0
2020-01-26,KOR,South Korea,3,0,0
2020-01-27,KOR,South Korea,4,0,0
2020-01-28,KOR,South Korea,4,0,0
2020-01-29,KOR,South Korea,4,0,0
2020-01-30,KOR,South Korea,6,0,0
2020-01-31,KOR,South Korea,11,0,0
2020-02-01,KOR,South Korea,12,0,0
2020-02-02,KOR,South Korea,15,0,0
2020-02-03,KOR,South Korea,15,0,0
2020-02-04,KOR,South Korea,16,0,0
2020-02-05,KOR,South Korea,19,0,1
2020-02-06,KOR,South Korea,23,0,2
2020-02-07,KOR,South Korea,24,0,2
2020-02-08,KOR,South Korea,24,0,2
2020-02-09,KOR,South Korea,27,0,3
2020-02-10,KOR,South Korea,27,0,4
2020-02-11,KOR,South Korea,28,0,4
2020-02-12,KOR,South Korea,28,0,4
2020-02-13,KOR,South Korea,28,0,4
2020-02-14,KOR,South Korea,28,0,4
2020-02-15,KOR,South Korea,28,0,4
2020-02-16,KOR,South Korea,29,0,9
2020-02-17,KOR,South Korea,30,0,10
2020-02-18,KOR,South Korea,31,0,12
2020-02-19,KOR,South Korea,51,0,16
2020-02-20,KOR,South Korea,104,1,16
2020-02-21,KOR,South Korea,204,2,17
2020-02-22,KOR,South Korea,433,2,18
2020-02-23,KOR,South Korea,602,4,18
2020-02-24,KOR,South Korea,833,7,24
2020-02-25,KOR,South Korea,977,10,24
2020-02-26,KOR,South Korea,1261,12,24
2020-02-27,KOR,South Korea,1766,13,27
2020-02-28,KOR,South Korea,2337,13,27
2020-02-29,KOR,South Korea,3150,17,28
2020-03-01,KOR,South Korea,4212,22,31
2020-03-02,KOR,South Korea,4812,28,34
2020-03-03,KOR,South Korea,5328,32,41
2020-03-04,KOR,South Korea,5766,35,88
2020-03-05,KOR,South Korea,6284,42,108
2020-03-06,KOR,South Korea,6767,44,118
2020-03-07,KOR,South Korea,7134,50,130
2020-03-08,KOR,South Korea,7382,51,166
2020-03-09,KOR,South Korea,7513,54,247
2020-03-10,KOR,South Korea,7755,60,288
2020-03-11,KOR,South Korea,7869,66,333
2020-03-12,KOR,South Korea,7979,67,510
2020-03-13,KOR,South Korea,8086,72,714
2020-03-14,KOR,South Korea,8162,75,834
2020-03-15,KOR,South Korea,8236,75,1137
2020-03-16,KOR,South Korea,8320,81,1401
2020-03-17,KOR,South Korea,8413,84,1540
2020-03-18,KOR,South Korea,8565,91,1947
2020-03-19,KOR,South Korea,8652,94,2233
2020-03-20,KOR,South Korea,8799,102,2612
2020-03-21,KOR,South Korea,8897,104,2909
2020-03-22,KOR,South Korea,8961,111,3166
2020-03-23,KOR,South Korea,9037,120,3507
2020-03-24,KOR,South Korea,9137,126,3730
