date,country_code,country_name,total_cases,total_deaths,total_recoveries
2020-01-28,LKA,Sri Lanka,1,0,0
2020-01-29,LKA,Sri Lanka,1,0,0
2020-01-30,LKA,Sri Lanka,1,0,0
2020-01-31,LKA,Sri Lanka,1,0,0
2020-02-01,LKA,Sri Lanka,1,0,0
2020-02-02,LKA,Sri Lanka,1,0,0
2020-02-03,LKA,Sri Lanka,1,0,0
2020-02-04,LKA,Sri Lanka,1,0,0
2020-02-05,LKA,Sri Lanka,1,0,0
2020-02-06,LKA,Sri Lanka,1,0,0
2020-02-07,LKA,Sri Lanka,1,0,0
2020-02-08,LKA,Sri Lanka,1,0,0
2020-02-09,LKA,Sri Lanka,1,0,0
2020-02-10,LKA,Sri Lanka,1,0,0
2020-02-11,LKA,Sri Lanka,1,0,0
2020-02-12,LKA,Sri Lanka,1,0,0
2020-02-13,LKA,Sri Lanka,1,0,0
2020-02-14,LKA,Sri Lanka,1,0,0
2020-02-15,LKA,Sri Lanka,1,0,0
2020-02-16,LKA,Sri Lanka,1,0,0
2020-02-17,LKA,Sri Lanka,1,0,0
2020-02-18,LKA,Sri Lanka,1,0,0
2020-02-19,LKA,Sri Lanka,1,0,0
2020-02-20,LKA,Sri Lanka,1,0,0
2020-02-21,LKA,Sri Lanka,1,0,0
2020-02-22,LKA,Sri Lanka,1,0,0
2020-02-23,LKA,Sri Lanka,1,0,0
2020-02-24,LKA,Sri Lanka,1,0,0
2020-02-25,LKA,Sri Lanka,1,0,0
2020-02-26,LKA,Sri Lanka,1,0,0
2020-02-27,LKA,Sri Lanka,1,0,0
2020-02-28,LKA,Sri Lanka,1,0,0
2020-02-29,LKA,Sri Lanka,1,0,0
2020-03-01,LKA,Sri Lanka,1,0,0
2020-03-02,LKA,Sri Lanka,1,0,0
2020-03-03,LKA,Sri Lanka,1,0,0
2020-03-04,LKA,Sri Lanka,1,0,0
2020-03-05,LKA,Sri Lanka,1,0,0
2020-03-06,LKA,Sri Lanka,1,0,0
2020-03-07,LKA,Sri Lanka,1,0,0
2020-03-08,LKA,Sri Lanka,1,0,0
2020-03-09,LKA,Sri Lanka,1,0,0
2020-03-10,LKA,Sri Lanka,1,0,0
2020-03-11,LKA,Sri Lanka,2,0,1
2020-03-12,LKA,Sri Lanka,2,0,1
2020-03-13,LKA,Sri Lanka,3,0,1
2020-03-14,LKA,Sri Lanka,6,0,1
2020-03-15,LKA,Sri Lanka,11,0,1
2020-03-16,LKA,Sri Lanka,19,0,1
2020-03-17,LKA,Sri Lanka,29,0,1
2020-03-18,LKA,Sri Lanka,42,0,1
2020-03-19,LKA,Sri Lanka,53,0,1
2020-03-20,LKA,Sri Lanka,66,0,1
2020-03-21,LKA,Sri Lanka,72,0,1
2020-03-22,LKA,Sri Lanka,78,0,1
2020-03-23,LKA,Sri Lanka,87,0,1
