date,country_code,country_name,total_cases,total_deaths,total_recoveries
2020-02-28,LTU,Lithuania,1,0,0
2020-02-29,LTU,Lithuania,1,0,0
2020-03-01,LTU,Lithuania,1,0,0
2020-03-02,LTU,Lithuania,1,0,0
2020-03-03,LTU,Lithuania,1,0,0
2020-03-04,LTU,Lithuania,1,0,0
2020-03-05,LTU,Lithuania,1,0,0
2020-03-06,LTU,Lithuania,1,0,0
2020-03-07,LTU,Lithuania,1,0,0
2020-03-08,LTU,Lithuania,1,0,0
2020-03-09,LTU,Lithuania,1,0,0
2020-03-10,LTU,Lithuania,3,0,0
2020-03-11,LTU,Lithuania,3,0,0
2020-03-12,LTU,Lithuania,3,0,0
2020-03-13,LTU,Lithuania,6,0,0
2020-03-14,LTU,Lithuania,9,0,1
2020-03-15,LTU,Lithuania,11,0,1
2020-03-16,LTU,Lithuania,18,0,1
2020-03-17,LTU,Lithuania,26,0,1
2020-03-18,LTU,Lithuania,34,0,1
2020-03-19,LTU,Lithuania,48,0,1
2020-03-20,LTU,Lithuania,69,1,1
2020-03-21,LTU,Lithuania,99,1,1
2020-03-22,LTU,Lithuania,143,1,1
2020-03-23,LTU,Lithuania,179,1,1
2020-03-24,LTU,Lithuania,209,2,1
2020-03-25,LTU,Lithuania,255,4,1
