date,country_code,country_name,total_cases,total_deaths
2020-02-29,LUX,Luxembourg,1,0
2020-03-01,LUX,Luxembourg,1,0
2020-03-02,LUX,Luxembourg,1,0
2020-03-03,LUX,Luxembourg,1,0
2020-03-04,LUX,Luxembourg,1,0
2020-03-05,LUX,Luxembourg,2,0
2020-03-06,LUX,Luxembourg,3,0
2020-03-07,LUX,Luxembourg,4,0
2020-03-08,LUX,Luxembourg,5,0
2020-03-09,LUX,Luxembourg,5,0
2020-03-10,LUX,Luxembourg,7,0
2020-03-11,LUX,Luxembourg,7,0
2020-03-12,LUX,Luxembourg,26,0
2020-03-13,LUX,Luxembourg,34,1
2020-03-14,LUX,Luxembourg,51,1
2020-03-15,LUX,Luxembourg,77,1
2020-03-16,LUX,Luxembourg,81,1
2020-03-17,LUX,Luxembourg,140,1
2020-03-18,LUX,Luxembourg,203,2
2020-03-19,LUX,Luxembourg,335,4
2020-03-20,LUX,Luxembourg,484,5
2020-03-21,LUX,Luxembourg,670,8
2020-03-22,LUX,Luxembourg,798,8
