date,country_code,country_name,total_cases,total_deaths,total_recoveries
2020-03-02,LVA,Latvia,1,0,0
2020-03-03,LVA,Latvia,1,0,1
2020-03-04,LVA,Latvia,1,0,1
2020-03-05,LVA,Latvia,1,0,1
2020-03-06,LVA,Latvia,1,0,1
2020-03-07,LVA,Latvia,2,0,1
2020-03-08,LVA,Latvia,6,0,1
2020-03-09,LVA,Latvia,8,0,1
2020-03-10,LVA,Latvia,10,0,1
2020-03-11,LVA,Latvia,16,0,1
2020-03-12,LVA,Latvia,17,0,1
2020-03-13,LVA,Latvia,26,0,1
2020-03-14,LVA,Latvia,30,0,1
2020-03-15,LVA,Latvia,34,0,1
2020-03-16,LVA,Latvia,49,0,1
2020-03-17,LVA,Latvia,71,0,1
2020-03-18,LVA,Latvia,86,0,1
2020-03-19,LVA,Latvia,111,0,1
2020-03-20,LVA,Latvia,124,0,1
2020-03-21,LVA,Latvia,139,0,1
2020-03-22,LVA,Latvia,180,0,1
2020-03-23,LVA,Latvia,197,0,1
2020-03-24,LVA,Latvia,221,0,1
