date,country_code,country_name,total_cases,total_deaths,total_recoveries
2020-03-07,MDA,Moldova,1,0,0
2020-03-08,MDA,Moldova,1,0,0
2020-03-09,MDA,Moldova,1,0,0
2020-03-10,MDA,Moldova,3,0,0
2020-03-11,MDA,Moldova,4,0,0
2020-03-12,MDA,Moldova,6,0,0
2020-03-13,MDA,Moldova,8,0,0
2020-03-14,MDA,Moldova,12,0,0
2020-03-15,MDA,Moldova,23,0,0
2020-03-16,MDA,Moldova,29,0,1
2020-03-17,MDA,Moldova,30,0,1
2020-03-18,MDA,Moldova,36,1,1
2020-03-19,MDA,Moldova,49,1,1
2020-03-20,MDA,Moldova,66,1,1
2020-03-21,MDA,Moldova,80,1,2
2020-03-22,MDA,Moldova,94,1,2
2020-03-23,MDA,Moldova,109,1,2
2020-03-24,MDA,Moldova,125,1,2
