date,country_code,country_name,total_cases,total_deaths,total_recoveries
2020-01-24,MYS,Malaysia,3,0,0
2020-01-25,MYS,Malaysia,4,0,0
2020-01-26,MYS,Malaysia,4,0,0
2020-01-27,MYS,Malaysia,6,0,0
2020-01-28,MYS,Malaysia,8,0,0
2020-01-29,MYS,Malaysia,8,0,0
2020-01-30,MYS,Malaysia,8,0,0
2020-01-31,MYS,Malaysia,8,0,0
2020-02-01,MYS,Malaysia,8,0,0
2020-02-02,MYS,Malaysia,8,0,0
2020-02-03,MYS,Malaysia,9,0,0
2020-02-04,MYS,Malaysia,12,0,1
2020-02-05,MYS,Malaysia,14,0,1
2020-02-06,MYS,Malaysia,14,0,1
2020-02-07,MYS,Malaysia,15,0,1
2020-02-08,MYS,Malaysia,16,0,2
2020-02-09,MYS,Malaysia,18,0,3
2020-02-10,MYS,Malaysia,18,0,3
2020-02-11,MYS,Malaysia,18,0,3
2020-02-12,MYS,Malaysia,19,0,3
2020-02-13,MYS,Malaysia,19,0,3
2020-02-14,MYS,Malaysia,21,0,7
2020-02-15,MYS,Malaysia,21,0,7
2020-02-16,MYS,Malaysia,22,0,8
2020-02-17,MYS,Malaysia,22,0,9
2020-02-18,MYS,Malaysia,22,0,13
2020-02-19,MYS,Malaysia,22,0,17
2020-02-20,MYS,Malaysia,22,0,17
2020-02-21,MYS,Malaysia,22,0,17
2020-02-22,MYS,Malaysia,22,0,17
2020-02-23,MYS,Malaysia,22,0,18
2020-02-24,MYS,Malaysia,22,0,20
2020-02-25,MYS,Malaysia,22,0,20
2020-02-26,MYS,Malaysia,22,0,20
2020-02-27,MYS,Malaysia,24,0,22
2020-02-28,MYS,Malaysia,25,0,22
2020-02-29,MYS,Malaysia,29,0,22
2020-03-01,MYS,Malaysia,29,0,22
2020-03-02,MYS,Malaysia,33,0,22
2020-03-03,MYS,Malaysia,36,0,22
2020-03-04,MYS,Malaysia,50,0,22
2020-03-05,MYS,Malaysia,55,0,22
2020-03-06,MYS,Malaysia,83,0,23
2020-03-07,MYS,Malaysia,93,0,25
2020-03-08,MYS,Malaysia,99,0,25
2020-03-09,MYS,Malaysia,118,0,26
2020-03-10,MYS,Malaysia,130,0,26
2020-03-11,MYS,Malaysia,149,0,27
2020-03-12,MYS,Malaysia,158,0,33
2020-03-13,MYS,Malaysia,200,0,33
2020-03-14,MYS,Malaysia,242,0,36
2020-03-15,MYS,Malaysia,428,0,42
2020-03-16,MYS,Malaysia,553,0,42
2020-03-17,MYS,Malaysia,673,2,49
2020-03-18,MYS,Malaysia,790,2,60
2020-03-19,MYS,Malaysia,900,2,75
2020-03-20,MYS,Malaysia,1030,3,87
2020-03-21,MYS,Malaysia,1183,8,114
2020-03-22,MYS,Malaysia,1306,11,139
2020-03-23,MYS,Malaysia,1518,14,159
2020-03-24,MYS,Malaysia,1624,15,183
