date,country_code,country_name,total_cases,total_deaths,total_recoveries
2020-02-27,NLD,Netherlands,1,0,0
2020-02-28,NLD,Netherlands,2,0,0
2020-02-29,NLD,Netherlands,7,0,0
2020-03-01,NLD,Netherlands,10,0,0
2020-03-02,NLD,Netherlands,18,0,0
2020-03-03,NLD,Netherlands,24,0,0
2020-03-04,NLD,Netherlands,38,0,0
2020-03-05,NLD,Netherlands,82,0,0
2020-03-06,NLD,Netherlands,128,1,0
2020-03-07,NLD,Netherlands,188,1,0
2020-03-08,NLD,Netherlands,265,3,0
2020-03-09,NLD,Netherlands,321,4,0
2020-03-10,NLD,Netherlands,382,4,0
2020-03-11,NLD,Netherlands,503,5,0
2020-03-12,NLD,Netherlands,614,5,0
2020-03-13,NLD,Netherlands,804,10,0
2020-03-14,NLD,Netherlands,959,12,0
2020-03-15,NLD,Netherlands,1135,20,0
2020-03-16,NLD,Netherlands,1413,24,0
2020-03-17,NLD,Netherlands,1705,43,0
2020-03-18,NLD,Netherlands,2051,58,0
2020-03-19,NLD,Netherlands,2460,76,0
2020-03-20,NLD,Netherlands,2994,106,0
2020-03-21,NLD,Netherlands,3631,136,0
2020-03-22,NLD,Netherlands,4204,179,0
2020-03-23,NLD,Netherlands,4749,213,0
2020-03-24,NLD,Netherlands,5560,276,0
