date,country_code,country_name,total_cases,total_deaths,total_recoveries
2020-01-30,PHL,Philippines,1,0,0
2020-01-31,PHL,Philippines,1,0,0
2020-02-01,PHL,Philippines,1,0,0
2020-02-02,PHL,Philippines,2,1,0
2020-02-03,PHL,Philippines,2,1,0
2020-02-04,PHL,Philippines,2,1,0
2020-02-05,PHL,Philippines,3,1,1
2020-02-06,PHL,Philippines,3,1,1
2020-02-07,PHL,Philippines,3,1,1
2020-02-08,PHL,Philippines,3,1,1
2020-02-09,PHL,Philippines,3,1,1
2020-02-10,PHL,Philippines,3,1,2
2020-02-11,PHL,Philippines,3,1,2
2020-02-12,PHL,Philippines,3,1,2
2020-02-13,PHL,Philippines,3,1,2
2020-02-14,PHL,Philippines,3,1,2
2020-02-15,PHL,Philippines,3,1,2
2020-02-16,PHL,Philippines,3,1,2
2020-02-17,PHL,Philippines,3,1,2
2020-02-18,PHL,Philippines,3,1,2
2020-02-19,PHL,Philippines,3,1,2
2020-02-20,PHL,Philippines,3,1,2
2020-02-21,PHL,Philippines,3,1,2
2020-02-22,PHL,Philippines,3,1,2
2020-02-23,PHL,Philippines,3,1,2
2020-02-24,PHL,Philippines,3,1,2
2020-02-25,PHL,Philippines,3,1,2
2020-02-26,PHL,Philippines,3,1,2
2020-02-27,PHL,Philippines,3,1,2
2020-02-28,PHL,Philippines,3,1,2
2020-02-29,PHL,Philippines,3,1,2
2020-03-01,PHL,Philippines,3,1,2
2020-03-02,PHL,Philippines,3,1,2
2020-03-03,PHL,Philippines,3,1,2
2020-03-04,PHL,Philippines,3,1,2
2020-03-05,PHL,Philippines,5,1,2
2020-03-06,PHL,Philippines,5,1,2
2020-03-07,PHL,Philippines,6,1,2
2020-03-08,PHL,Philippines,10,1,2
2020-03-09,PHL,Philippines,24,1,2
2020-03-10,PHL,Philippines,33,1,2
2020-03-11,PHL,Philippines,49,2,2
2020-03-12,PHL,Philippines,52,5,2
2020-03-13,PHL,Philippines,64,6,2
2020-03-14,PHL,Philippines,111,8,2
2020-03-15,PHL,Philippines,140,12,2
2020-03-16,PHL,Philippines,142,12,3
2020-03-17,PHL,Philippines,187,14,4
2020-03-18,PHL,Philippines,202,17,7
2020-03-19,PHL,Philippines,217,17,8
2020-03-20,PHL,Philippines,230,18,8
2020-03-21,PHL,Philippines,307,19,13
2020-03-22,PHL,Philippines,380,25,17
