date,country_code,country_name,total_cases,total_deaths,total_recoveries
2020-03-04,POL,Poland,1,0,0
2020-03-05,POL,Poland,1,0,0
2020-03-06,POL,Poland,5,0,0
2020-03-07,POL,Poland,6,0,0
2020-03-08,POL,Poland,11,0,0
2020-03-09,POL,Poland,17,0,0
2020-03-10,POL,Poland,22,0,0
2020-03-11,POL,Poland,31,0,0
2020-03-12,POL,Poland,51,1,0
2020-03-13,POL,Poland,68,2,0
2020-03-14,POL,Poland,104,3,0
2020-03-15,POL,Poland,125,3,0
2020-03-16,POL,Poland,177,4,0
2020-03-17,POL,Poland,238,5,1
2020-03-18,POL,Poland,287,5,1
2020-03-19,POL,Poland,355,5,1
2020-03-20,POL,Poland,425,5,1
2020-03-21,POL,Poland,536,5,1
2020-03-22,POL,Poland,634,7,1
2020-03-23,POL,Poland,749,8,1
2020-03-24,POL,Poland,900,10,1
2020-03-25,POL,Poland,1051,14,1
2020-03-26,POL,Poland,1120,14,1
