date,country_code,country_name,total_cases,total_deaths,total_recoveries
2020-03-02,PRT,Portugal,2,0,0
2020-03-03,PRT,Portugal,4,0,0
2020-03-04,PRT,Portugal,6,0,0
2020-03-05,PRT,Portugal,9,0,0
2020-03-06,PRT,Portugal,13,0,0
2020-03-07,PRT,Portugal,21,0,0
2020-03-08,PRT,Portugal,30,0,0
2020-03-09,PRT,Portugal,39,0,0
2020-03-10,PRT,Portugal,41,0,0
2020-03-11,PRT,Portugal,59,0,0
2020-03-12,PRT,Portugal,78,0,1
2020-03-13,PRT,Portugal,112,0,1
2020-03-14,PRT,Portugal,169,0,1
2020-03-15,PRT,Portugal,245,0,2
2020-03-16,PRT,Portugal,331,1,3
2020-03-17,PRT,Portugal,448,1,3
2020-03-18,PRT,Portugal,642,2,3
2020-03-19,PRT,Portugal,785,3,3
2020-03-20,PRT,Portugal,1020,6,5
2020-03-21,PRT,Portugal,1280,12,5
2020-03-22,PRT,Portugal,1600,14,5
2020-03-23,PRT,Portugal,2060,23,14
2020-03-24,PRT,Portugal,2362,29,22
