date,country_code,country_name,total_cases,total_deaths,total_recoveries
2020-01-31,RUS,Russia,2,0,0
2020-02-01,RUS,Russia,2,0,0
2020-02-02,RUS,Russia,2,0,0
2020-02-03,RUS,Russia,2,0,0
2020-02-04,RUS,Russia,2,0,0
2020-02-05,RUS,Russia,2,0,0
2020-02-06,RUS,Russia,2,0,0
2020-02-07,RUS,Russia,2,0,0
2020-02-08,RUS,Russia,2,0,0
2020-02-09,RUS,Russia,2,0,0
2020-02-10,RUS,Russia,2,0,0
2020-02-11,RUS,Russia,2,0,1
2020-02-12,RUS,Russia,2,0,2
2020-02-13,RUS,Russia,2,0,2
2020-02-14,RUS,Russia,2,0,2
2020-02-15,RUS,Russia,2,0,2
2020-02-16,RUS,Russia,2,0,2
2020-02-17,RUS,Russia,2,0,2
2020-02-18,RUS,Russia,2,0,2
2020-02-19,RUS,Russia,2,0,2
2020-02-20,RUS,Russia,2,0,2
2020-02-21,RUS,Russia,2,0,2
2020-02-22,RUS,Russia,2,0,2
2020-02-23,RUS,Russia,2,0,2
2020-02-24,RUS,Russia,2,0,2
2020-02-25,RUS,Russia,2,0,2
2020-02-26,RUS,Russia,2,0,2
2020-02-27,RUS,Russia,2,0,2
2020-02-28,RUS,Russia,2,0,2
2020-02-29,RUS,Russia,2,0,2
2020-03-01,RUS,Russia,2,0,2
2020-03-02,RUS,Russia,3,0,2
2020-03-03,RUS,Russia,3,0,2
2020-03-04,RUS,Russia,3,0,2
2020-03-05,RUS,Russia,4,0,2
2020-03-06,RUS,Russia,10,0,3
2020-03-07,RUS,Russia,14,0,3
2020-03-08,RUS,Russia,17,0,3
2020-03-09,RUS,Russia,20,0,3
2020-03-10,RUS,Russia,20,0,3
2020-03-11,RUS,Russia,28,0,3
2020-03-12,RUS,Russia,34,0,3
2020-03-13,RUS,Russia,45,0,3
2020-03-14,RUS,Russia,59,0,3
2020-03-15,RUS,Russia,63,0,3
2020-03-16,RUS,Russia,93,0,4
2020-03-17,RUS,Russia,114,0,5
2020-03-18,RUS,Russia,147,0,5
2020-03-19,RUS,Russia,199,0,5
2020-03-20,RUS,Russia,253,0,12
2020-03-21,RUS,Russia,306,0,16
2020-03-22,RUS,Russia,367,0,16
2020-03-23,RUS,Russia,438,0,17
2020-03-24,RUS,Russia,495,0,22
2020-03-25,RUS,Russia,658,0,29
