date,country_code,country_name,total_cases,total_deaths
2020-02-27,SMR,San Marino,1,0
2020-02-28,SMR,San Marino,2,0
2020-02-29,SMR,San Marino,3,0
2020-03-01,SMR,San Marino,8,0
2020-03-02,SMR,San Marino,9,1
2020-03-03,SMR,San Marino,11,1
2020-03-04,SMR,San Marino,16,1
2020-03-05,SMR,San Marino,22,1
2020-03-06,SMR,San Marino,24,1
2020-03-07,SMR,San Marino,27,1
2020-03-08,SMR,San Marino,37,1
2020-03-09,SMR,San Marino,51,2
2020-03-10,SMR,San Marino,62,2
2020-03-11,SMR,San Marino,69,3
2020-03-12,SMR,San Marino,72,5
2020-03-13,SMR,San Marino,80,5
2020-03-14,SMR,San Marino,101,5
2020-03-15,SMR,San Marino,109,7
2020-03-16,SMR,San Marino,115,9
2020-03-17,SMR,San Marino,119,11
2020-03-18,SMR,San Marino,127,14
2020-03-19,SMR,San Marino,144,14
2020-03-20,SMR,San Marino,151,14
2020-03-21,SMR,San Marino,160,20
