date,country_code,country_name,total_cases,total_deaths,total_recoveries
2020-03-03,UKR,Ukraine,1,0,0
2020-03-04,UKR,Ukraine,1,0,0
2020-03-05,UKR,Ukraine,1,0,0
2020-03-06,UKR,Ukraine,1,0,0
2020-03-07,UKR,Ukraine,1,0,0
2020-03-08,UKR,Ukraine,1,0,0
2020-03-09,UKR,Ukraine,1,0,0
2020-03-10,UKR,Ukraine,1,0,0
2020-03-11,UKR,Ukraine,3,0,0
2020-03-12,UKR,Ukraine,3,0,0
2020-03-13,UKR,Ukraine,3,1,0
2020-03-14,UKR,Ukraine,3,1,0
2020-03-15,UKR,Ukraine,3,1,0
2020-03-16,UKR,Ukraine,7,1,0
2020-03-17,UKR,Ukraine,14,2,0
2020-03-18,UKR,Ukraine,16,2,0
2020-03-19,UKR,Ukraine,26,3,0
2020-03-20,UKR,Ukraine,41,3,1
2020-03-21,UKR,Ukraine,47,3,1
2020-03-22,UKR,Ukraine,73,3,1
2020-03-23,UKR,Ukraine,84,3,1
2020-03-24,UKR,Ukraine,113,4,1
