date,country_code,country_name,total_cases,total_deaths,total_recoveries
2020-03-05,ZAF,South Africa,1,0,0
2020-03-06,ZAF,South Africa,1,0,0
2020-03-07,ZAF,South Africa,2,0,0
2020-03-08,ZAF,South Africa,3,0,0
2020-03-09,ZAF,South Africa,7,0,0
2020-03-10,ZAF,South Africa,7,0,0
2020-03-11,ZAF,South Africa,13,0,0
2020-03-12,ZAF,South Africa,16,0,0
2020-03-13,ZAF,South Africa,24,0,0
2020-03-14,ZAF,South Africa,38,0,0
2020-03-15,ZAF,South Africa,51,0,0
2020-03-16,ZAF,South Africa,62,0,0
2020-03-17,ZAF,South Africa,85,0,0
2020-03-18,ZAF,South Africa,116,0,0
2020-03-19,ZAF,South Africa,150,0,0
2020-03-20,ZAF,South Africa,202,0,0
2020-03-21,ZAF,South Africa,240,0,0
2020-03-22,ZAF,South Africa,274,0,0
2020-03-23,ZAF,South Africa,402,0,0
2020-03-24,ZAF,South Africa,554,0,0
