country_code,state_code,state_name,page_name,cidx_total_case,cidx_total_death,cidx_total_recovery
USA,AL,Alabama,"Template:2019–20_coronavirus_pandemic_data/United_States/Alabama_medical_cases_chart",4,2,3
USA,AK,Alaska,"Template:2019–20_coronavirus_pandemic_data/United_States/Alaska_medical_cases_chart",4,2,3
USA,AZ,Arizona,"Template:2019–20_coronavirus_pandemic_data/United_States/Arizona_medical_cases_chart",4,2,3
USA,AR,Arkansas,"Template:2019–20_coronavirus_pandemic_data/United_States/Arkansas_medical_cases_chart",4,2,3
USA,CA,California,"Template:2019–20_coronavirus_pandemic_data/United_States/California_medical_cases_chart",4,2,3
USA,CO,Colorado,"Template:2019–20_coronavirus_pandemic_data/United_States/Colorado_medical_cases_chart",4,2,3
USA,CT,Connecticut,"Template:2019–20_coronavirus_pandemic_data/United_States/Connecticut_medical_cases_chart",4,2,3
USA,DE,Delaware,"Template:2019–20_coronavirus_pandemic_data/United_States/Delaware_medical_cases_chart",4,2,3
USA,DC,District of Columbia,"Template:2019–20_coronavirus_pandemic_data/United_States/Washington,_D.C._medical_cases_chart",4,2,3
USA,FL,Florida,"Template:2019–20_coronavirus_pandemic_data/United_States/Florida_medical_cases_chart",4,2,3
USA,GA,Georgia,"Template:2019–20_coronavirus_pandemic_data/United_States/Georgia_medical_cases_chart",4,2,3
USA,GU,Guam,"Template:2019–20_coronavirus_pandemic_data/United_States/Guam_medical_cases_chart",4,2,3
USA,HI,Hawaii,"Template:2019–20_coronavirus_pandemic_data/United_States/Hawaii_medical_cases_chart",4,2,3
USA,ID,Idaho,"Template:2019–20_coronavirus_pandemic_data/United_States/Idaho_medical_cases_chart",4,2,3
USA,IL,Illinois,"Template:2019–20_coronavirus_pandemic_data/United_States/Illinois_medical_cases_chart",4,2,3
USA,IN,Indiana,"Template:2019–20_coronavirus_pandemic_data/United_States/Indiana_medical_cases_chart",4,2,3
USA,IA,Iowa,"Template:2019–20_coronavirus_pandemic_data/United_States/Iowa_medical_cases_chart",4,2,3
USA,KS,Kansas,"Template:2019–20_coronavirus_pandemic_data/United_States/Kansas_medical_cases_chart",4,2,3
USA,KY,Kentucky,"Template:2019–20_coronavirus_pandemic_data/United_States/Kentucky_medical_cases_chart",4,2,3
USA,LA,Louisiana,"Template:2019–20_coronavirus_pandemic_data/United_States/Louisiana_medical_cases_chart",4,2,3
