date,country_code,state_code,state_name,total_cases,total_deaths,total_recoveries
2020-03-11,USA,AR,Arkansas,1,0,0
2020-03-12,USA,AR,Arkansas,6,0,0
2020-03-13,USA,AR,Arkansas,9,0,0
2020-03-14,USA,AR,Arkansas,12,0,0
2020-03-15,USA,AR,Arkansas,16,0,0
2020-03-16,USA,AR,Arkansas,22,0,0
2020-03-17,USA,AR,Arkansas,22,0,0
2020-03-18,USA,AR,Arkansas,37,0,0
2020-03-19,USA,AR,Arkansas,62,0,0
2020-03-20,USA,AR,Arkansas,100,0,0
2020-03-21,USA,AR,Arkansas,118,0,0
2020-03-22,USA,AR,Arkansas,165,0,0
2020-03-23,USA,AR,Arkansas,201,0,6
2020-03-24,USA,AR,Arkansas,232,2,10
