date,country_code,state_code,state_name,total_cases,total_deaths,total_recoveries
2020-01-26,USA,CA,California,2,0,0
2020-01-27,USA,CA,California,2,0,0
2020-01-28,USA,CA,California,2,0,0
2020-01-29,USA,CA,California,2,0,0
2020-01-30,USA,CA,California,2,0,0
2020-01-31,USA,CA,California,3,0,0
2020-02-01,USA,CA,California,3,0,0
2020-02-02,USA,CA,California,6,0,0
2020-02-03,USA,CA,California,6,0,0
2020-02-04,USA,CA,California,6,0,0
2020-02-05,USA,CA,California,6,0,0
2020-02-06,USA,CA,California,6,0,0
2020-02-07,USA,CA,California,6,0,0
2020-02-08,USA,CA,California,6,0,0
2020-02-09,USA,CA,California,6,0,0
2020-02-10,USA,CA,California,6,0,0
2020-02-11,USA,CA,California,6,0,0
2020-02-12,USA,CA,California,6,0,0
2020-02-13,USA,CA,California,6,0,0
2020-02-14,USA,CA,California,6,0,0
2020-02-15,USA,CA,California,6,0,0
2020-02-16,USA,CA,California,6,0,0
2020-02-17,USA,CA,California,6,0,0
2020-02-18,USA,CA,California,6,0,0
2020-02-19,USA,CA,California,6,0,0
2020-02-20,USA,CA,California,6,0,0
2020-02-21,USA,CA,California,6,0,0
2020-02-22,USA,CA,California,6,0,0
2020-02-23,USA,CA,California,6,0,0
2020-02-24,USA,CA,California,6,0,0
2020-02-25,USA,CA,California,6,0,0
2020-02-26,USA,CA,California,6,0,0
2020-02-27,USA,CA,California,6,0,0
2020-02-28,USA,CA,California,6,0,0
2020-02-29,USA,CA,California,6,0,0
2020-03-01,USA,CA,California,6,0,0
2020-03-02,USA,CA,California,6,0,0
2020-03-03,USA,CA,California,6,0,0
2020-03-04,USA,CA,California,53,1,0
2020-03-05,USA,CA,California,60,1,0
2020-03-06,USA,CA,California,69,1,0
2020-03-07,USA,CA,California,88,1,0
2020-03-08,USA,CA,California,114,1,0
2020-03-09,USA,CA,California,133,1,0
2020-03-10,USA,CA,California,157,2,0
2020-03-11,USA,CA,California,177,3,0
2020-03-12,USA,CA,California,198,4,0
2020-03-13,USA,CA,California,247,5,0
2020-03-14,USA,CA,California,335,6,0
2020-03-15,USA,CA,California,392,6,0
2020-03-16,USA,CA,California,472,11,0
2020-03-17,USA,CA,California,598,13,0
2020-03-18,USA,CA,California,675,16,0
2020-03-19,USA,CA,California,1006,19,0
2020-03-20,USA,CA,California,1224,23,0
2020-03-21,USA,CA,California,1468,27,0
