date,country_code,state_code,state_name,total_cases,total_deaths,total_recoveries
2020-03-05,USA,CO,Colorado,2,0,0
2020-03-06,USA,CO,Colorado,8,0,0
2020-03-07,USA,CO,Colorado,8,0,0
2020-03-08,USA,CO,Colorado,8,0,0
2020-03-09,USA,CO,Colorado,12,0,0
2020-03-10,USA,CO,Colorado,17,0,0
2020-03-11,USA,CO,Colorado,34,0,0
2020-03-12,USA,CO,Colorado,49,0,0
2020-03-13,USA,CO,Colorado,77,1,0
2020-03-14,USA,CO,Colorado,101,1,0
2020-03-15,USA,CO,Colorado,131,1,0
2020-03-16,USA,CO,Colorado,160,1,0
2020-03-17,USA,CO,Colorado,183,2,0
2020-03-18,USA,CO,Colorado,216,2,0
2020-03-19,USA,CO,Colorado,277,4,0
2020-03-20,USA,CO,Colorado,363,4,0
2020-03-21,USA,CO,Colorado,475,5,0
2020-03-22,USA,CO,Colorado,720,7,0
