date,country_code,state_code,state_name,total_cases,total_deaths,total_recoveries
2020-03-02,USA,GA,Georgia,2,0,0
2020-03-03,USA,GA,Georgia,2,0,0
2020-03-04,USA,GA,Georgia,2,0,0
2020-03-05,USA,GA,Georgia,2,0,0
2020-03-06,USA,GA,Georgia,3,0,0
2020-03-07,USA,GA,Georgia,8,0,0
2020-03-08,USA,GA,Georgia,11,0,0
2020-03-09,USA,GA,Georgia,15,0,0
2020-03-10,USA,GA,Georgia,17,0,0
2020-03-11,USA,GA,Georgia,27,0,0
2020-03-12,USA,GA,Georgia,33,0,0
2020-03-13,USA,GA,Georgia,64,1,0
2020-03-14,USA,GA,Georgia,66,1,0
2020-03-15,USA,GA,Georgia,99,1,0
2020-03-16,USA,GA,Georgia,121,1,0
2020-03-17,USA,GA,Georgia,146,1,0
2020-03-18,USA,GA,Georgia,197,1,0
2020-03-19,USA,GA,Georgia,287,10,0
2020-03-20,USA,GA,Georgia,420,13,0
2020-03-21,USA,GA,Georgia,555,20,0
2020-03-22,USA,GA,Georgia,620,25,0
