date,country_code,state_code,state_name,total_cases,total_deaths,total_recoveries
2020-03-06,USA,HI,Hawaii,1,0,0
2020-03-07,USA,HI,Hawaii,1,0,0
2020-03-08,USA,HI,Hawaii,2,0,0
2020-03-09,USA,HI,Hawaii,2,0,0
2020-03-10,USA,HI,Hawaii,2,0,0
2020-03-11,USA,HI,Hawaii,2,0,0
2020-03-12,USA,HI,Hawaii,2,0,0
2020-03-13,USA,HI,Hawaii,2,0,0
2020-03-14,USA,HI,Hawaii,4,0,0
2020-03-15,USA,HI,Hawaii,7,0,0
2020-03-16,USA,HI,Hawaii,10,0,0
2020-03-17,USA,HI,Hawaii,14,0,0
2020-03-18,USA,HI,Hawaii,16,0,0
2020-03-19,USA,HI,Hawaii,26,0,0
2020-03-20,USA,HI,Hawaii,37,0,0
2020-03-21,USA,HI,Hawaii,48,0,1
