date,country_code,state_code,state_name,total_cases,total_deaths,total_recoveries
2020-03-08,USA,IA,Iowa,3,0,0
2020-03-09,USA,IA,Iowa,8,0,0
2020-03-10,USA,IA,Iowa,13,0,0
2020-03-11,USA,IA,Iowa,14,0,0
2020-03-12,USA,IA,Iowa,16,0,0
2020-03-13,USA,IA,Iowa,17,0,0
2020-03-14,USA,IA,Iowa,18,0,0
2020-03-15,USA,IA,Iowa,22,0,0
2020-03-16,USA,IA,Iowa,23,0,0
2020-03-17,USA,IA,Iowa,29,0,0
2020-03-18,USA,IA,Iowa,38,0,0
2020-03-19,USA,IA,Iowa,44,0,0
2020-03-20,USA,IA,Iowa,45,0,0
2020-03-21,USA,IA,Iowa,68,0,0
2020-03-22,USA,IA,Iowa,90,0,0
2020-03-23,USA,IA,Iowa,105,0,0
