date,country_code,state_code,state_name,total_cases,total_deaths,total_recoveries
2020-01-24,USA,IL,Illinois,1,0,0
2020-01-25,USA,IL,Illinois,1,0,0
2020-01-26,USA,IL,Illinois,1,0,0
2020-01-27,USA,IL,Illinois,1,0,0
2020-01-28,USA,IL,Illinois,1,0,0
2020-01-29,USA,IL,Illinois,1,0,0
2020-01-30,USA,IL,Illinois,2,0,0
2020-01-31,USA,IL,Illinois,2,0,0
2020-02-01,USA,IL,Illinois,2,0,0
2020-02-02,USA,IL,Illinois,2,0,0
2020-02-03,USA,IL,Illinois,2,0,0
2020-02-04,USA,IL,Illinois,2,0,0
2020-02-05,USA,IL,Illinois,2,0,0
2020-02-06,USA,IL,Illinois,2,0,0
2020-02-07,USA,IL,Illinois,2,0,0
2020-02-08,USA,IL,Illinois,2,0,0
2020-02-09,USA,IL,Illinois,2,0,0
2020-02-10,USA,IL,Illinois,2,0,0
2020-02-11,USA,IL,Illinois,2,0,0
2020-02-12,USA,IL,Illinois,2,0,0
2020-02-13,USA,IL,Illinois,2,0,0
2020-02-14,USA,IL,Illinois,2,0,0
2020-02-15,USA,IL,Illinois,2,0,0
2020-02-16,USA,IL,Illinois,2,0,0
2020-02-17,USA,IL,Illinois,2,0,0
2020-02-18,USA,IL,Illinois,2,0,0
2020-02-19,USA,IL,Illinois,2,0,0
2020-02-20,USA,IL,Illinois,2,0,0
2020-02-21,USA,IL,Illinois,2,0,0
2020-02-22,USA,IL,Illinois,2,0,0
2020-02-23,USA,IL,Illinois,2,0,0
2020-02-24,USA,IL,Illinois,2,0,0
2020-02-25,USA,IL,Illinois,2,0,0
2020-02-26,USA,IL,Illinois,2,0,0
2020-02-27,USA,IL,Illinois,2,0,0
2020-02-28,USA,IL,Illinois,2,0,0
2020-02-29,USA,IL,Illinois,3,0,0
2020-03-01,USA,IL,Illinois,3,0,0
2020-03-02,USA,IL,Illinois,4,0,0
2020-03-03,USA,IL,Illinois,4,0,0
2020-03-04,USA,IL,Illinois,4,0,0
2020-03-05,USA,IL,Illinois,5,0,0
2020-03-06,USA,IL,Illinois,6,0,0
2020-03-07,USA,IL,Illinois,6,0,0
2020-03-08,USA,IL,Illinois,7,0,0
2020-03-09,USA,IL,Illinois,11,0,0
2020-03-10,USA,IL,Illinois,19,0,0
2020-03-11,USA,IL,Illinois,25,0,0
2020-03-12,USA,IL,Illinois,32,0,0
2020-03-13,USA,IL,Illinois,46,0,0
2020-03-14,USA,IL,Illinois,64,0,0
2020-03-15,USA,IL,Illinois,93,0,0
2020-03-16,USA,IL,Illinois,105,0,0
2020-03-17,USA,IL,Illinois,160,1,0
2020-03-18,USA,IL,Illinois,288,1,0
2020-03-19,USA,IL,Illinois,422,4,0
2020-03-20,USA,IL,Illinois,585,5,0
2020-03-21,USA,IL,Illinois,753,6,0
2020-03-22,USA,IL,Illinois,1049,9,0
2020-03-23,USA,IL,Illinois,1285,12,0
2020-03-24,USA,IL,Illinois,1535,16,0
2020-03-25,USA,IL,Illinois,1865,19,0
