date,country_code,state_code,state_name,total_cases,total_deaths,total_recoveries
2020-03-09,USA,LA,Louisiana,1,0,0
2020-03-10,USA,LA,Louisiana,5,0,0
2020-03-11,USA,LA,Louisiana,13,0,0
2020-03-12,USA,LA,Louisiana,19,0,0
2020-03-13,USA,LA,Louisiana,36,0,0
2020-03-14,USA,LA,Louisiana,77,1,0
2020-03-15,USA,LA,Louisiana,103,2,0
2020-03-16,USA,LA,Louisiana,136,3,0
2020-03-17,USA,LA,Louisiana,196,4,0
2020-03-18,USA,LA,Louisiana,280,7,0
2020-03-19,USA,LA,Louisiana,392,10,0
2020-03-20,USA,LA,Louisiana,537,14,0
2020-03-21,USA,LA,Louisiana,763,20,0
2020-03-22,USA,LA,Louisiana,837,20,0
2020-03-23,USA,LA,Louisiana,1172,34,0
2020-03-24,USA,LA,Louisiana,1388,46,0
