date,country_code,state_code,state_name,total_cases,total_deaths,total_recoveries
2020-02-01,USA,MA,Massachusetts,1,0,0
2020-02-02,USA,MA,Massachusetts,1,0,0
2020-02-03,USA,MA,Massachusetts,1,0,0
2020-02-04,USA,MA,Massachusetts,1,0,0
2020-02-05,USA,MA,Massachusetts,1,0,0
2020-02-06,USA,MA,Massachusetts,1,0,0
2020-02-07,USA,MA,Massachusetts,1,0,0
2020-02-08,USA,MA,Massachusetts,1,0,0
2020-02-09,USA,MA,Massachusetts,1,0,0
2020-02-10,USA,MA,Massachusetts,1,0,0
2020-02-11,USA,MA,Massachusetts,1,0,0
2020-02-12,USA,MA,Massachusetts,1,0,0
2020-02-13,USA,MA,Massachusetts,1,0,0
2020-02-14,USA,MA,Massachusetts,1,0,0
2020-02-15,USA,MA,Massachusetts,1,0,0
2020-02-16,USA,MA,Massachusetts,1,0,0
2020-02-17,USA,MA,Massachusetts,1,0,0
2020-02-18,USA,MA,Massachusetts,1,0,0
2020-02-19,USA,MA,Massachusetts,1,0,0
2020-02-20,USA,MA,Massachusetts,1,0,0
2020-02-21,USA,MA,Massachusetts,1,0,0
2020-02-22,USA,MA,Massachusetts,1,0,0
2020-02-23,USA,MA,Massachusetts,1,0,0
2020-02-24,USA,MA,Massachusetts,1,0,0
2020-02-25,USA,MA,Massachusetts,1,0,0
2020-02-26,USA,MA,Massachusetts,1,0,0
2020-02-27,USA,MA,Massachusetts,1,0,0
2020-02-28,USA,MA,Massachusetts,1,0,0
2020-02-29,USA,MA,Massachusetts,1,0,0
2020-03-01,USA,MA,Massachusetts,1,0,0
2020-03-02,USA,MA,Massachusetts,2,0,0
2020-03-03,USA,MA,Massachusetts,2,0,0
2020-03-04,USA,MA,Massachusetts,2,0,0
2020-03-05,USA,MA,Massachusetts,3,0,0
2020-03-06,USA,MA,Massachusetts,8,0,0
2020-03-07,USA,MA,Massachusetts,13,0,0
2020-03-08,USA,MA,Massachusetts,28,0,0
2020-03-09,USA,MA,Massachusetts,41,0,0
2020-03-10,USA,MA,Massachusetts,92,0,0
2020-03-11,USA,MA,Massachusetts,95,0,0
2020-03-12,USA,MA,Massachusetts,108,0,0
2020-03-13,USA,MA,Massachusetts,123,0,0
2020-03-14,USA,MA,Massachusetts,138,0,0
2020-03-15,USA,MA,Massachusetts,164,0,0
2020-03-16,USA,MA,Massachusetts,197,0,0
2020-03-17,USA,MA,Massachusetts,218,0,0
2020-03-18,USA,MA,Massachusetts,256,0,0
2020-03-19,USA,MA,Massachusetts,328,0,0
2020-03-20,USA,MA,Massachusetts,413,1,0
2020-03-21,USA,MA,Massachusetts,525,2,0
2020-03-22,USA,MA,Massachusetts,646,5,0
2020-03-23,USA,MA,Massachusetts,777,9,0
