date,country_code,state_code,state_name,total_cases,total_deaths,total_recoveries
2020-03-05,USA,MD,Maryland,3,0,0
2020-03-06,USA,MD,Maryland,3,0,0
2020-03-07,USA,MD,Maryland,3,0,0
2020-03-08,USA,MD,Maryland,5,0,0
2020-03-09,USA,MD,Maryland,5,0,0
2020-03-10,USA,MD,Maryland,6,0,0
2020-03-11,USA,MD,Maryland,9,0,0
2020-03-12,USA,MD,Maryland,12,0,3
2020-03-13,USA,MD,Maryland,17,0,3
2020-03-14,USA,MD,Maryland,26,0,3
2020-03-15,USA,MD,Maryland,31,0,3
2020-03-16,USA,MD,Maryland,37,0,3
2020-03-17,USA,MD,Maryland,57,0,3
2020-03-18,USA,MD,Maryland,85,1,3
2020-03-19,USA,MD,Maryland,107,1,3
2020-03-20,USA,MD,Maryland,150,2,3
2020-03-21,USA,MD,Maryland,190,2,3
2020-03-22,USA,MD,Maryland,244,3,3
2020-03-23,USA,MD,Maryland,288,3,3
2020-03-24,USA,MD,Maryland,349,3,3
