date,country_code,state_code,state_name,total_cases,total_deaths,total_recoveries
2020-03-10,USA,MI,Michigan,2,0,0
2020-03-11,USA,MI,Michigan,2,0,0
2020-03-12,USA,MI,Michigan,12,0,0
2020-03-13,USA,MI,Michigan,25,0,0
2020-03-14,USA,MI,Michigan,33,0,0
2020-03-15,USA,MI,Michigan,53,0,0
2020-03-16,USA,MI,Michigan,54,0,0
2020-03-17,USA,MI,Michigan,65,0,0
2020-03-18,USA,MI,Michigan,80,1,0
2020-03-19,USA,MI,Michigan,334,3,0
2020-03-20,USA,MI,Michigan,549,3,0
2020-03-21,USA,MI,Michigan,787,5,0
2020-03-22,USA,MI,Michigan,1035,8,0
2020-03-23,USA,MI,Michigan,1328,15,0
2020-03-24,USA,MI,Michigan,1791,24,0
