date,country_code,state_code,state_name,total_cases,total_deaths,total_recoveries
2020-03-11,USA,NC,North Carolina,7,0,0
2020-03-12,USA,NC,North Carolina,16,0,0
2020-03-13,USA,NC,North Carolina,16,0,0
2020-03-14,USA,NC,North Carolina,24,0,0
2020-03-15,USA,NC,North Carolina,33,0,0
2020-03-16,USA,NC,North Carolina,40,0,0
2020-03-17,USA,NC,North Carolina,65,0,0
2020-03-18,USA,NC,North Carolina,81,0,0
2020-03-19,USA,NC,North Carolina,134,0,0
2020-03-20,USA,NC,North Carolina,179,0,0
2020-03-21,USA,NC,North Carolina,251,0,0
