date,country_code,state_code,state_name,total_cases,total_deaths,total_recoveries
2020-03-04,USA,NJ,New Jersey,1,0,0
2020-03-05,USA,NJ,New Jersey,2,0,0
2020-03-06,USA,NJ,New Jersey,4,0,0
2020-03-07,USA,NJ,New Jersey,4,0,0
2020-03-08,USA,NJ,New Jersey,6,0,0
2020-03-09,USA,NJ,New Jersey,11,0,0
2020-03-10,USA,NJ,New Jersey,15,1,0
2020-03-11,USA,NJ,New Jersey,23,1,0
2020-03-12,USA,NJ,New Jersey,29,1,0
2020-03-13,USA,NJ,New Jersey,50,1,0
2020-03-14,USA,NJ,New Jersey,69,2,0
2020-03-15,USA,NJ,New Jersey,98,2,0
2020-03-16,USA,NJ,New Jersey,178,3,0
2020-03-17,USA,NJ,New Jersey,267,3,0
2020-03-18,USA,NJ,New Jersey,427,5,0
2020-03-19,USA,NJ,New Jersey,742,9,0
2020-03-20,USA,NJ,New Jersey,890,11,0
2020-03-21,USA,NJ,New Jersey,1327,16,0
2020-03-22,USA,NJ,New Jersey,1914,20,0
2020-03-23,USA,NJ,New Jersey,2844,27,0
