date,country_code,state_code,state_name,total_cases,total_deaths,total_recoveries
2020-03-07,USA,SC,South Carolina,2,0,0
2020-03-08,USA,SC,South Carolina,6,0,0
2020-03-09,USA,SC,South Carolina,7,0,0
2020-03-10,USA,SC,South Carolina,9,0,0
2020-03-11,USA,SC,South Carolina,10,0,0
2020-03-12,USA,SC,South Carolina,12,0,0
2020-03-13,USA,SC,South Carolina,13,0,0
2020-03-14,USA,SC,South Carolina,19,0,0
2020-03-15,USA,SC,South Carolina,28,0,0
2020-03-16,USA,SC,South Carolina,33,1,0
2020-03-17,USA,SC,South Carolina,47,1,0
2020-03-18,USA,SC,South Carolina,60,1,0
2020-03-19,USA,SC,South Carolina,80,1,0
2020-03-20,USA,SC,South Carolina,125,3,0
2020-03-21,USA,SC,South Carolina,173,3,0
2020-03-22,USA,SC,South Carolina,195,3,0
2020-03-23,USA,SC,South Carolina,298,5,0
