date,country_code,state_code,state_name,total_cases,total_deaths,total_recoveries
2020-03-07,USA,VA,Virginia,1,0,0
2020-03-08,USA,VA,Virginia,2,0,0
2020-03-09,USA,VA,Virginia,5,0,0
2020-03-10,USA,VA,Virginia,8,0,0
2020-03-11,USA,VA,Virginia,10,0,0
2020-03-12,USA,VA,Virginia,17,0,0
2020-03-13,USA,VA,Virginia,30,0,0
2020-03-14,USA,VA,Virginia,41,1,0
2020-03-15,USA,VA,Virginia,45,1,0
2020-03-16,USA,VA,Virginia,51,2,0
2020-03-17,USA,VA,Virginia,67,2,0
2020-03-18,USA,VA,Virginia,77,2,0
2020-03-19,USA,VA,Virginia,94,2,0
2020-03-20,USA,VA,Virginia,114,2,0
2020-03-21,USA,VA,Virginia,152,2,0
2020-03-22,USA,VA,Virginia,220,3,0
2020-03-23,USA,VA,Virginia,254,6,0
