date,country_code,country_name,total_cases,total_deaths
2019-12-31,CHN,China,27,0
2020-01-01,CHN,China,27,0
2020-01-02,CHN,China,27,0
2020-01-03,CHN,China,44,0
2020-01-04,CHN,China,44,0
2020-01-05,CHN,China,59,0
2020-01-06,CHN,China,59,0
2020-01-07,CHN,China,59,0
2020-01-08,CHN,China,59,0
2020-01-09,CHN,China,59,0
2020-01-10,CHN,China,0,1
2020-01-11,CHN,China,0,1
2020-01-12,CHN,China,0,1
2020-01-13,CHN,China,0,1
2020-01-14,CHN,China,0,1
2020-01-15,CHN,China,0,2
2020-01-16,CHN,China,0,2
2020-01-17,CHN,China,0,2
2020-01-18,CHN,China,0,3
2020-01-19,CHN,China,0,3
2020-01-20,CHN,China,0,6
2020-01-21,CHN,China,0,9
2020-01-22,CHN,China,0,17
2020-01-23,CHN,China,0,25
2020-01-24,CHN,China,0,41
2020-01-25,CHN,China,0,56
2020-01-26,CHN,China,0,80
2020-01-27,CHN,China,0,106
2020-01-28,CHN,China,0,132
2020-01-29,CHN,China,0,170
2020-01-30,CHN,China,0,213
2020-01-31,CHN,China,0,259
2020-02-01,CHN,China,0,304
2020-02-02,CHN,China,0,361
2020-02-03,CHN,China,0,425
2020-02-04,CHN,China,0,490
2020-02-05,CHN,China,0,563
2020-02-06,CHN,China,0,637
2020-02-07,CHN,China,0,722
2020-02-08,CHN,China,0,811
2020-02-09,CHN,China,0,908
2020-02-10,CHN,China,0,1016
2020-02-11,CHN,China,0,1113
2020-02-12,CHN,China,12289,1259
2020-02-13,CHN,China,15384,1380
2020-02-14,CHN,China,16492,1523
2020-02-15,CHN,China,17409,1665
2020-02-16,CHN,China,70548,1770
2020-02-17,CHN,China,72436,1868
2020-02-18,CHN,China,74185,2004
2020-02-19,CHN,China,75002,2118
2020-02-20,CHN,China,75891,2236
2020-02-21,CHN,China,76288,2345
2020-02-22,CHN,China,76936,2443
2020-02-23,CHN,China,77150,2592
2020-02-24,CHN,China,77658,2663
2020-02-25,CHN,China,78064,2715
2020-02-26,CHN,China,78497,2744
2020-02-27,CHN,China,78824,2788
2020-02-28,CHN,China,79251,2835
2020-02-29,CHN,China,79824,2870
2020-03-01,CHN,China,80026,2912
2020-03-02,CHN,China,80151,2943
2020-03-03,CHN,China,80270,2981
2020-03-04,CHN,China,80409,3012
2020-03-05,CHN,China,80552,3042
2020-03-06,CHN,China,80651,3070
2020-03-07,CHN,China,80695,3097
2020-03-08,CHN,China,80735,3119
2020-03-09,CHN,China,80754,3136
2020-03-10,CHN,China,80778,3158
2020-03-11,CHN,China,80793,3169
2020-03-12,CHN,China,80813,3176
2020-03-13,CHN,China,80824,3189
2020-03-14,CHN,China,80844,3199
2020-03-15,CHN,China,80860,3213
2020-03-16,CHN,China,80881,3226
2020-03-17,CHN,China,80894,3237
2020-03-18,CHN,China,80928,3245
2020-03-19,CHN,China,80967,3248
