date,country_code,country_name,total_cases,total_deaths,total_recoveries
2020-01-31,ESP,Spain,1,0,0
2020-02-01,ESP,Spain,1,0,0
2020-02-02,ESP,Spain,1,0,0
2020-02-03,ESP,Spain,1,0,0
2020-02-04,ESP,Spain,1,0,0
2020-02-05,ESP,Spain,1,0,0
2020-02-06,ESP,Spain,1,0,0
2020-02-07,ESP,Spain,1,0,0
2020-02-08,ESP,Spain,1,0,0
2020-02-09,ESP,Spain,2,0,0
2020-02-10,ESP,Spain,2,0,0
2020-02-11,ESP,Spain,2,0,0
2020-02-12,ESP,Spain,2,0,0
2020-02-13,ESP,Spain,3,1,0
2020-02-14,ESP,Spain,3,1,2
2020-02-15,ESP,Spain,3,1,2
2020-02-16,ESP,Spain,3,1,2
2020-02-17,ESP,Spain,3,1,2
2020-02-18,ESP,Spain,3,1,2
2020-02-19,ESP,Spain,3,1,2
2020-02-20,ESP,Spain,3,1,2
2020-02-21,ESP,Spain,3,1,2
2020-02-22,ESP,Spain,3,1,2
2020-02-23,ESP,Spain,3,1,2
2020-02-24,ESP,Spain,4,1,2
2020-02-25,ESP,Spain,10,1,2
2020-02-26,ESP,Spain,14,1,2
2020-02-27,ESP,Spain,26,1,2
2020-02-28,ESP,Spain,34,1,2
2020-02-29,ESP,Spain,59,1,2
2020-03-01,ESP,Spain,85,1,2
2020-03-02,ESP,Spain,121,1,2
2020-03-03,ESP,Spain,166,2,2
2020-03-04,ESP,Spain,228,2,3
2020-03-05,ESP,Spain,282,3,4
2020-03-06,ESP,Spain,401,8,30
2020-03-07,ESP,Spain,525,10,30
2020-03-08,ESP,Spain,674,17,32
2020-03-09,ESP,Spain,1231,30,32
2020-03-10,ESP,Spain,1695,36,135
2020-03-11,ESP,Spain,2277,55,183
2020-03-12,ESP,Spain,3146,86,189
2020-03-13,ESP,Spain,5232,133,193
2020-03-14,ESP,Spain,6391,196,517
2020-03-15,ESP,Spain,7988,294,517
2020-03-16,ESP,Spain,9942,342,530
2020-03-17,ESP,Spain,11826,533,1028
2020-03-18,ESP,Spain,14769,638,1081
2020-03-19,ESP,Spain,18077,833,1107
2020-03-20,ESP,Spain,21571,1093,1588
2020-03-21,ESP,Spain,25496,1381,2125
2020-03-22,ESP,Spain,29909,1813,2575
2020-03-23,ESP,Spain,35480,2342,3355
2020-03-24,ESP,Spain,42058,2994,3794
2020-03-25,ESP,Spain,50105,3650,5367
2020-03-26,ESP,Spain,56188,4089,7015
