date,country_code,country_name,total_cases,total_deaths,total_recoveries
2020-02-21,ISR,Israel,1,0,0
2020-02-22,ISR,Israel,1,0,0
2020-02-23,ISR,Israel,2,0,0
2020-02-24,ISR,Israel,2,0,0
2020-02-25,ISR,Israel,2,0,0
2020-02-26,ISR,Israel,2,0,0
2020-02-27,ISR,Israel,3,0,0
2020-02-28,ISR,Israel,7,0,0
2020-02-29,ISR,Israel,7,0,0
2020-03-01,ISR,Israel,10,0,0
2020-03-02,ISR,Israel,12,0,0
2020-03-03,ISR,Israel,12,0,2
2020-03-04,ISR,Israel,15,0,3
2020-03-05,ISR,Israel,17,0,3
2020-03-06,ISR,Israel,21,0,3
2020-03-07,ISR,Israel,25,0,3
2020-03-08,ISR,Israel,39,0,3
2020-03-09,ISR,Israel,50,0,3
2020-03-10,ISR,Israel,70,0,3
2020-03-11,ISR,Israel,82,0,3
2020-03-12,ISR,Israel,109,0,3
2020-03-13,ISR,Israel,143,0,4
2020-03-14,ISR,Israel,193,0,4
2020-03-15,ISR,Israel,213,0,4
2020-03-16,ISR,Israel,298,0,4
2020-03-17,ISR,Israel,337,0,11
2020-03-18,ISR,Israel,433,0,12
2020-03-19,ISR,Israel,677,0,14
2020-03-20,ISR,Israel,705,1,15
2020-03-21,ISR,Israel,883,1,36
2020-03-22,ISR,Israel,1071,1,37
2020-03-23,ISR,Israel,1442,1,41
2020-03-24,ISR,Israel,1930,3,53
2020-03-25,ISR,Israel,2369,5,64
2020-03-26,ISR,Israel,2666,8,68
