date,country_code,country_name,total_cases,total_deaths,total_recoveries
2020-02-26,NOR,Norway,1,0,0
2020-02-27,NOR,Norway,4,0,0
2020-02-28,NOR,Norway,7,0,0
2020-02-29,NOR,Norway,15,0,0
2020-03-01,NOR,Norway,19,0,0
2020-03-02,NOR,Norway,25,0,0
2020-03-03,NOR,Norway,33,0,0
2020-03-04,NOR,Norway,54,0,0
2020-03-05,NOR,Norway,84,0,0
2020-03-06,NOR,Norway,111,0,0
2020-03-07,NOR,Norway,145,0,0
2020-03-08,NOR,Norway,167,0,0
2020-03-09,NOR,Norway,190,0,0
2020-03-10,NOR,Norway,275,0,0
2020-03-11,NOR,Norway,489,0,0
2020-03-12,NOR,Norway,621,1,1
2020-03-13,NOR,Norway,750,1,1
2020-03-14,NOR,Norway,907,3,1
2020-03-15,NOR,Norway,1077,3,1
2020-03-16,NOR,Norway,1169,3,1
2020-03-17,NOR,Norway,1308,3,1
2020-03-18,NOR,Norway,1423,6,1
2020-03-19,NOR,Norway,1552,6,1
2020-03-20,NOR,Norway,1742,7,1
2020-03-21,NOR,Norway,1926,7,1
2020-03-22,NOR,Norway,2132,7,1
2020-03-23,NOR,Norway,2371,7,1
2020-03-24,NOR,Norway,2566,10,1
2020-03-25,NOR,Norway,2916,12,1
2020-03-26,NOR,Norway,3156,14,1
