date,country_code,state_code,state_name,total_cases,total_deaths,total_recoveries
2020-03-06,USA,IN,Indiana,1,0,0
2020-03-07,USA,IN,Indiana,1,0,0
2020-03-08,USA,IN,Indiana,2,0,0
2020-03-09,USA,IN,Indiana,4,0,0
2020-03-10,USA,IN,Indiana,6,0,0
2020-03-11,USA,IN,Indiana,10,0,0
2020-03-12,USA,IN,Indiana,12,0,0
2020-03-13,USA,IN,Indiana,12,0,0
2020-03-14,USA,IN,Indiana,15,0,0
2020-03-15,USA,IN,Indiana,19,0,0
2020-03-16,USA,IN,Indiana,24,1,0
2020-03-17,USA,IN,Indiana,30,2,0
2020-03-18,USA,IN,Indiana,39,2,0
2020-03-19,USA,IN,Indiana,56,2,0
2020-03-20,USA,IN,Indiana,79,2,0
2020-03-21,USA,IN,Indiana,126,3,0
2020-03-22,USA,IN,Indiana,201,6,0
2020-03-23,USA,IN,Indiana,259,7,0
2020-03-24,USA,IN,Indiana,365,12,0
2020-03-25,USA,IN,Indiana,477,14,0
