date,country_code,state_code,state_name,total_cases,total_deaths,total_recoveries
2020-03-01,USA,NY,New York,1,0,0
2020-03-02,USA,NY,New York,1,0,0
2020-03-03,USA,NY,New York,2,0,0
2020-03-04,USA,NY,New York,11,0,0
2020-03-05,USA,NY,New York,22,0,0
2020-03-06,USA,NY,New York,44,0,0
2020-03-07,USA,NY,New York,89,1,0
2020-03-08,USA,NY,New York,105,0,0
2020-03-09,USA,NY,New York,142,0,0
2020-03-10,USA,NY,New York,173,0,0
2020-03-11,USA,NY,New York,216,0,0
2020-03-12,USA,NY,New York,325,0,0
2020-03-13,USA,NY,New York,421,0,0
2020-03-14,USA,NY,New York,613,2,0
2020-03-15,USA,NY,New York,729,3,0
2020-03-16,USA,NY,New York,950,7,0
2020-03-17,USA,NY,New York,1374,12,0
2020-03-18,USA,NY,New York,2480,16,0
2020-03-19,USA,NY,New York,5711,38,0
2020-03-20,USA,NY,New York,8402,46,0
2020-03-21,USA,NY,New York,10356,58,0
2020-03-22,USA,NY,New York,15168,76,0
2020-03-23,USA,NY,New York,20875,157,0
2020-03-24,USA,NY,New York,25665,271,0
2020-03-25,USA,NY,New York,30811,285,0
