date,country_code,state_code,state_name,total_cases,total_deaths,total_recoveries
2020-02-27,USA,WA,Washington,1,0,0
2020-02-28,USA,WA,Washington,3,0,0
2020-02-29,USA,WA,Washington,6,1,0
2020-03-01,USA,WA,Washington,13,2,0
2020-03-02,USA,WA,Washington,18,6,0
2020-03-03,USA,WA,Washington,28,9,0
2020-03-04,USA,WA,Washington,39,10,0
2020-03-05,USA,WA,Washington,70,10,0
2020-03-06,USA,WA,Washington,80,11,0
2020-03-07,USA,WA,Washington,102,16,0
2020-03-08,USA,WA,Washington,136,18,0
2020-03-09,USA,WA,Washington,162,22,0
2020-03-10,USA,WA,Washington,267,24,0
2020-03-11,USA,WA,Washington,366,29,0
2020-03-12,USA,WA,Washington,457,31,0
2020-03-13,USA,WA,Washington,568,37,0
2020-03-14,USA,WA,Washington,642,40,0
2020-03-15,USA,WA,Washington,769,42,0
2020-03-16,USA,WA,Washington,904,48,0
2020-03-17,USA,WA,Washington,1012,52,0
2020-03-18,USA,WA,Washington,1187,66,0
2020-03-19,USA,WA,Washington,1376,74,0
2020-03-20,USA,WA,Washington,1524,83,0
2020-03-21,USA,WA,Washington,1793,94,0
2020-03-22,USA,WA,Washington,1996,95,0
2020-03-23,USA,WA,Washington,2221,110,0
2020-03-24,USA,WA,Washington,2469,123,0
2020-03-25,USA,WA,Washington,2580,132,0
