date,country_code,state_code,state_name,total_cases,total_deaths,total_recoveries
2020-02-05,USA,WI,Wisconsin,1,0,0
2020-02-06,USA,WI,Wisconsin,1,0,0
2020-02-07,USA,WI,Wisconsin,1,0,0
2020-02-08,USA,WI,Wisconsin,1,0,0
2020-02-09,USA,WI,Wisconsin,1,0,0
2020-02-10,USA,WI,Wisconsin,1,0,0
2020-02-11,USA,WI,Wisconsin,1,0,0
2020-02-12,USA,WI,Wisconsin,1,0,0
2020-02-13,USA,WI,Wisconsin,1,0,0
2020-02-14,USA,WI,Wisconsin,1,0,0
2020-02-15,USA,WI,Wisconsin,1,0,0
2020-02-16,USA,WI,Wisconsin,1,0,0
2020-02-17,USA,WI,Wisconsin,1,0,0
2020-02-18,USA,WI,Wisconsin,1,0,0
2020-02-19,USA,WI,Wisconsin,1,0,0
2020-02-20,USA,WI,Wisconsin,1,0,0
2020-02-21,USA,WI,Wisconsin,1,0,0
2020-02-22,USA,WI,Wisconsin,1,0,0
2020-02-23,USA,WI,Wisconsin,1,0,0
2020-02-24,USA,WI,Wisconsin,1,0,0
2020-02-25,USA,WI,Wisconsin,1,0,0
2020-02-26,USA,WI,Wisconsin,1,0,0
2020-02-27,USA,WI,Wisconsin,1,0,0
2020-02-28,USA,WI,Wisconsin,1,0,0
2020-02-29,USA,WI,Wisconsin,1,0,0
2020-03-01,USA,WI,Wisconsin,1,0,0
2020-03-02,USA,WI,Wisconsin,1,0,0
2020-03-03,USA,WI,Wisconsin,1,0,0
2020-03-04,USA,WI,Wisconsin,1,0,0
2020-03-05,USA,WI,Wisconsin,1,0,0
2020-03-06,USA,WI,Wisconsin,1,0,0
2020-03-07,USA,WI,Wisconsin,1,0,0
2020-03-08,USA,WI,Wisconsin,1,0,0
2020-03-09,USA,WI,Wisconsin,2,0,1
2020-03-10,USA,WI,Wisconsin,3,0,1
2020-03-11,USA,WI,Wisconsin,6,0,1
2020-03-12,USA,WI,Wisconsin,8,0,1
2020-03-13,USA,WI,Wisconsin,19,0,1
2020-03-14,USA,WI,Wisconsin,27,0,1
2020-03-15,USA,WI,Wisconsin,33,0,1
2020-03-16,USA,WI,Wisconsin,47,0,1
2020-03-17,USA,WI,Wisconsin,72,0,1
2020-03-18,USA,WI,Wisconsin,106,0,1
2020-03-19,USA,WI,Wisconsin,155,2,1
2020-03-20,USA,WI,Wisconsin,206,3,1
2020-03-21,USA,WI,Wisconsin,281,4,1
2020-03-22,USA,WI,Wisconsin,381,4,1
2020-03-23,USA,WI,Wisconsin,416,5,1
2020-03-24,USA,WI,Wisconsin,457,5,1
2020-03-25,USA,WI,Wisconsin,585,6,1
