date,country_code,state_code,state_name,total_cases,total_deaths,total_recoveries
2020-03-06,USA,PA,Pennsylvania,2,0,0
2020-03-07,USA,PA,Pennsylvania,4,0,0
2020-03-08,USA,PA,Pennsylvania,6,0,0
2020-03-09,USA,PA,Pennsylvania,10,0,0
2020-03-10,USA,PA,Pennsylvania,12,0,0
2020-03-11,USA,PA,Pennsylvania,16,0,0
2020-03-12,USA,PA,Pennsylvania,22,0,0
2020-03-13,USA,PA,Pennsylvania,41,0,0
2020-03-14,USA,PA,Pennsylvania,47,0,0
2020-03-15,USA,PA,Pennsylvania,63,0,0
2020-03-16,USA,PA,Pennsylvania,76,0,0
2020-03-17,USA,PA,Pennsylvania,96,0,0
2020-03-18,USA,PA,Pennsylvania,133,1,0
2020-03-19,USA,PA,Pennsylvania,185,1,0
2020-03-20,USA,PA,Pennsylvania,268,1,0
2020-03-21,USA,PA,Pennsylvania,371,2,0
2020-03-22,USA,PA,Pennsylvania,479,3,0
2020-03-23,USA,PA,Pennsylvania,644,6,0
2020-03-24,USA,PA,Pennsylvania,851,7,0
2020-03-25,USA,PA,Pennsylvania,1127,11,0
