country_code,population,region,income
ABW,105845,Latin America & Caribbean,High income
AFG,37172386,South Asia,Low income
AGO,30809762,Sub-Saharan Africa,Lower middle income
ALB,2866376,Europe & Central Asia,Upper middle income
AND,77006,Europe & Central Asia,High income
ARB,419790588,,
ARE,9630959,Middle East & North Africa,High income
ARG,44494502,Latin America & Caribbean,Upper middle income
ARM,2951776,Europe & Central Asia,Upper middle income
ASM,55465,East Asia & Pacific,Upper middle income
ATG,96286,Latin America & Caribbean,High income
AUS,24992369,East Asia & Pacific,High income
AUT,8847037,Europe & Central Asia,High income
AZE,9942334,Europe & Central Asia,Upper middle income
BDI,11175378,Sub-Saharan Africa,Low income
BEL,11422068,Europe & Central Asia,High income
BEN,11485048,Sub-Saharan Africa,Low income
BFA,19751535,Sub-Saharan Africa,Low income
BGD,161356039,South Asia,Lower middle income
BGR,7024216,Europe & Central Asia,Upper middle income
BHR,1569439,Middle East & North Africa,High income
BHS,385640,Latin America & Caribbean,High income
BIH,3323929,Europe & Central Asia,Upper middle income
BLR,9485386,Europe & Central Asia,Upper middle income
BLZ,383071,Latin America & Caribbean,Upper middle income
BMU,63968,North America,High income
BOL,11353142,Latin America & Caribbean,Lower middle income
BRA,209469333,Latin America & Caribbean,Upper middle income
BRB,286641,Latin America & Caribbean,High income
BRN,428962,East Asia & Pacific,High income
BTN,754394,South Asia,Lower middle income
BWA,2254126,Sub-Saharan Africa,Upper middle income
CAF,4666377,Sub-Saharan Africa,Low income
CAN,37058856,North America,High income
CEB,102511922,,
CHE,8516543,Europe & Central Asia,High income
CHI,170499,Europe & Central Asia,High income
CHL,18729160,Latin America & Caribbean,High income
CHN,1392730000,East Asia & Pacific,Upper middle income
CIV,25069229,Sub-Saharan Africa,Lower middle income
CMR,25216237,Sub-Saharan Africa,Lower middle income
COD,84068091,Sub-Saharan Africa,Low income
COG,5244363,Sub-Saharan Africa,Lower middle income
COL,49648685,Latin America & Caribbean,Upper middle income
COM,832322,Sub-Saharan Africa,Lower middle income
CPV,543767,Sub-Saharan Africa,Lower middle income
CRI,4999441,Latin America & Caribbean,Upper middle income
CSS,7358965,,
CUB,11338138,Latin America & Caribbean,Upper middle income
CUW,159849,Latin America & Caribbean,High income
CYM,64174,Latin America & Caribbean,High income
CYP,1189265,Europe & Central Asia,High income
CZE,10625695,Europe & Central Asia,High income
DEU,82927922,Europe & Central Asia,High income
DJI,958920,Middle East & North Africa,Lower middle income
DMA,71625,Latin America & Caribbean,Upper middle income
DNK,5797446,Europe & Central Asia,High income
DOM,10627165,Latin America & Caribbean,Upper middle income
DZA,42228429,Middle East & North Africa,Upper middle income
EAP,2081651801,,
EAR,3249140605,,
EAS,2328220870,,
ECA,417797257,,
ECS,918793590,,
ECU,17084357,Latin America & Caribbean,Upper middle income
EGY,98423595,Middle East & North Africa,Lower middle income
EMU,341783171,,
ERI,,Sub-Saharan Africa,Low income
ESP,46723749,Europe & Central Asia,High income
EST,1320884,Europe & Central Asia,High income
ETH,109224559,Sub-Saharan Africa,Low income
EUU,513213363,,
FCS,515215936,,
FIN,5518050,Europe & Central Asia,High income
FJI,883483,East Asia & Pacific,Upper middle income
FRA,66987244,Europe & Central Asia,High income
FRO,48497,Europe & Central Asia,High income
FSM,112640,East Asia & Pacific,Lower middle income
GAB,2119275,Sub-Saharan Africa,Upper middle income
GBR,66488991,Europe & Central Asia,High income
GEO,3731000,Europe & Central Asia,Upper middle income
GHA,29767108,Sub-Saharan Africa,Lower middle income
GIB,33718,Europe & Central Asia,High income
GIN,12414318,Sub-Saharan Africa,Low income
GMB,2280102,Sub-Saharan Africa,Low income
GNB,1874309,Sub-Saharan Africa,Low income
GNQ,1308974,Sub-Saharan Africa,Upper middle income
