date,country_code,country_name,total_cases,total_deaths,total_recoveries
2019-12-31,ABW,Aruba,0,0,
2020-01-01,ABW,Aruba,0,0,
2020-01-02,ABW,Aruba,0,0,
2020-01-03,ABW,Aruba,0,0,
2020-01-04,ABW,Aruba,0,0,
2020-01-05,ABW,Aruba,0,0,
2020-01-06,ABW,Aruba,0,0,
2020-01-07,ABW,Aruba,0,0,
2020-01-08,ABW,Aruba,0,0,
2020-01-09,ABW,Aruba,0,0,
2020-01-10,ABW,Aruba,0,0,
2020-01-11,ABW,Aruba,0,0,
2020-01-12,ABW,Aruba,0,0,
2020-01-13,ABW,Aruba,0,0,
2020-01-14,ABW,Aruba,0,0,
2020-01-15,ABW,Aruba,0,0,
2020-01-16,ABW,Aruba,0,0,
2020-01-17,ABW,Aruba,0,0,
2020-01-18,ABW,Aruba,0,0,
2020-01-19,ABW,Aruba,0,0,
2020-01-20,ABW,Aruba,0,0,
2020-01-21,ABW,Aruba,0,0,
2020-01-22,ABW,Aruba,0,0,
2020-01-23,ABW,Aruba,0,0,
2020-01-24,ABW,Aruba,0,0,
2020-01-25,ABW,Aruba,0,0,
2020-01-26,ABW,Aruba,0,0,
2020-01-27,ABW,Aruba,0,0,
2020-01-28,ABW,Aruba,0,0,
2020-01-29,ABW,Aruba,0,0,
2020-01-30,ABW,Aruba,0,0,
2020-01-31,ABW,Aruba,0,0,
2020-02-01,ABW,Aruba,0,0,
2020-02-02,ABW,Aruba,0,0,
2020-02-03,ABW,Aruba,0,0,
2020-02-04,ABW,Aruba,0,0,
2020-02-05,ABW,Aruba,0,0,
2020-02-06,ABW,Aruba,0,0,
2020-02-07,ABW,Aruba,0,0,
2020-02-08,ABW,Aruba,0,0,
2020-02-09,ABW,Aruba,0,0,
2020-02-10,ABW,Aruba,0,0,
2020-02-11,ABW,Aruba,0,0,
2020-02-12,ABW,Aruba,0,0,
2020-02-13,ABW,Aruba,0,0,
2020-02-14,ABW,Aruba,0,0,
2020-02-15,ABW,Aruba,0,0,
2020-02-16,ABW,Aruba,0,0,
2020-02-17,ABW,Aruba,0,0,
2020-02-18,ABW,Aruba,0,0,
2020-02-19,ABW,Aruba,0,0,
2020-02-20,ABW,Aruba,0,0,
2020-02-21,ABW,Aruba,0,0,
2020-02-22,ABW,Aruba,0,0,
2020-02-23,ABW,Aruba,0,0,
2020-02-24,ABW,Aruba,0,0,
2020-02-25,ABW,Aruba,0,0,
2020-02-26,ABW,Aruba,0,0,
2020-02-27,ABW,Aruba,0,0,
2020-02-28,ABW,Aruba,0,0,
2020-02-29,ABW,Aruba,0,0,
2020-03-01,ABW,Aruba,0,0,
2020-03-02,ABW,Aruba,0,0,
2020-03-03,ABW,Aruba,0,0,
2020-03-04,ABW,Aruba,0,0,
2020-03-05,ABW,Aruba,0,0,
2020-03-06,ABW,Aruba,0,0,
2020-03-07,ABW,Aruba,0,0,
2020-03-08,ABW,Aruba,0,0,
2020-03-09,ABW,Aruba,0,0,
2020-03-10,ABW,Aruba,0,0,
2020-03-11,ABW,Aruba,0,0,
2020-03-12,ABW,Aruba,0,0,
2020-03-13,ABW,Aruba,2,0,
2020-03-14,ABW,Aruba,2,0,
2020-03-15,ABW,Aruba,2,0,
2020-03-16,ABW,Aruba,2,0,
2020-03-17,ABW,Aruba,2,0,
2020-03-18,ABW,Aruba,2,0,
2020-03-19,ABW,Aruba,2,0,
2020-03-20,ABW,Aruba,4,0,
2020-03-21,ABW,Aruba,4,0,
2020-03-22,ABW,Aruba,4,0,
2020-03-23,ABW,Aruba,4,0,
2020-03-24,ABW,Aruba,12,0,
2020-03-25,ABW,Aruba,17,0,
2020-03-26,ABW,Aruba,19,0,
2020-03-27,ABW,Aruba,28,0,
2020-03-28,ABW,Aruba,28,0,
2020-03-29,ABW,Aruba,28,0,
