date,state_code,fips,state_name,total_cases,total_deaths
2020-01-21,AK,2,Alaska,0,0
2020-01-22,AK,2,Alaska,0,0
2020-01-23,AK,2,Alaska,0,0
2020-01-24,AK,2,Alaska,0,0
2020-01-25,AK,2,Alaska,0,0
2020-01-26,AK,2,Alaska,0,0
2020-01-27,AK,2,Alaska,0,0
2020-01-28,AK,2,Alaska,0,0
2020-01-29,AK,2,Alaska,0,0
2020-01-30,AK,2,Alaska,0,0
2020-01-31,AK,2,Alaska,0,0
2020-02-01,AK,2,Alaska,0,0
2020-02-02,AK,2,Alaska,0,0
2020-02-03,AK,2,Alaska,0,0
2020-02-04,AK,2,Alaska,0,0
2020-02-05,AK,2,Alaska,0,0
2020-02-06,AK,2,Alaska,0,0
2020-02-07,AK,2,Alaska,0,0
2020-02-08,AK,2,Alaska,0,0
2020-02-09,AK,2,Alaska,0,0
2020-02-10,AK,2,Alaska,0,0
2020-02-11,AK,2,Alaska,0,0
2020-02-12,AK,2,Alaska,0,0
2020-02-13,AK,2,Alaska,0,0
2020-02-14,AK,2,Alaska,0,0
2020-02-15,AK,2,Alaska,0,0
2020-02-16,AK,2,Alaska,0,0
2020-02-17,AK,2,Alaska,0,0
2020-02-18,AK,2,Alaska,0,0
2020-02-19,AK,2,Alaska,0,0
2020-02-20,AK,2,Alaska,0,0
2020-02-21,AK,2,Alaska,0,0
2020-02-22,AK,2,Alaska,0,0
2020-02-23,AK,2,Alaska,0,0
2020-02-24,AK,2,Alaska,0,0
2020-02-25,AK,2,Alaska,0,0
2020-02-26,AK,2,Alaska,0,0
2020-02-27,AK,2,Alaska,0,0
2020-02-28,AK,2,Alaska,0,0
2020-02-29,AK,2,Alaska,0,0
2020-03-01,AK,2,Alaska,0,0
2020-03-02,AK,2,Alaska,0,0
2020-03-03,AK,2,Alaska,0,0
2020-03-04,AK,2,Alaska,0,0
2020-03-05,AK,2,Alaska,0,0
2020-03-06,AK,2,Alaska,0,0
2020-03-07,AK,2,Alaska,0,0
2020-03-08,AK,2,Alaska,0,0
2020-03-09,AK,2,Alaska,0,0
2020-03-10,AK,2,Alaska,0,0
2020-03-11,AK,2,Alaska,0,0
2020-03-12,AK,2,Alaska,1,0
2020-03-13,AK,2,Alaska,1,0
